ReTr(Lx),ImTr(Lx)
0.0251024,0.0132606
0.0251024,0.0132606
0.0109913,0.0360253
0.00209351,0.0208042
0.0505189,0.00698576
0.0505189,0.00698576
0.0475862,-0.0301315
0.0475862,-0.0301315
0.0475862,-0.0301315
0.0135479,-0.0448117
0.0496752,-0.0396246
0.0273366,-0.0744121
-0.0125139,-0.0575973
-0.00371986,-0.0395084
-0.00371986,-0.0395084
0.0111268,-0.0513531
-0.0244064,-0.0176963
0.0166885,-0.0294156
0.0366616,-0.033736
0.0366616,-0.033736
0.0659197,-0.0382584
0.00677046,-0.0232487
0.0456949,-0.019672
0.0371969,0.00227016
0.0570343,0.00743237
0.0570343,0.00743237
0.0525445,0.00546091
0.0544736,0.00349839
0.0986474,0.00364512
0.0381017,-0.051411
0.0381017,-0.051411
0.0131874,-0.0387331
0.0131874,-0.0387331
0.00767071,0.00845155
0.015518,-0.0212186
0.000196414,-0.0232826
0.000196414,-0.0232826
0.000196414,-0.0232826
0.000196414,-0.0232826
0.000196414,-0.0232826
0.0214247,-0.0443894
-0.00910884,-0.0254026
-0.000270464,0.00325642
-0.000270464,0.00325642
-0.000270464,0.00325642
-0.000270464,0.00325642
-0.00506959,-0.0130028
0.00421743,-0.076332
-0.0195309,-0.0594541
0.00641539,-0.0338575
0.0442015,-0.0084977
0.0736449,-0.0223906
0.0736449,-0.0223906
0.0736449,-0.0223906
0.0183401,-0.026144
0.0410071,-0.0286346
0.0359941,0.000246491
0.0125595,0.0486479
0.00774176,0.0448872
0.00774176,0.0448872
0.00774176,0.0448872
0.00774176,0.0448872
0.00774176,0.0448872
0.00774176,0.0448872
0.0157711,0.0281598
0.0342649,0.0196665
0.0391189,0.00144646
0.0391189,0.00144646
-0.0113906,0.0024258
-0.00304175,-0.0277715
-0.00304175,-0.0277715
-0.0107405,-0.0165989
-0.0418486,-0.0251354
-0.0418486,-0.0251354
-0.0418486,-0.0251354
-0.0418486,-0.0251354
-0.0418486,-0.0251354
-0.0418486,-0.0251354
-0.0418486,-0.0251354
0.00115362,0.0112426
-0.00907848,0.00573625
-0.00907848,0.00573625
0.00377521,0.0413352
0.0148693,0.0301029
0.0268436,0.0418673
0.0268436,0.0418673
0.0268436,0.0418673
0.0268436,0.0418673
0.00854838,0.0582695
0.00854838,0.0582695
0.00122229,0.0309734
-0.014684,0.018371
-0.014684,0.018371
-0.0110147,-0.00839137
0.0230255,0.00222332
0.00488232,0.0115265
-0.00873749,-0.0268276
-0.0223526,-0.0281966
-0.0127557,-0.0070623
0.00432888,0.0384259
0.0432345,0.0257236
0.0318618,0.00730599
0.0616225,0.00692226
0.0616225,0.00692226
0.0664141,0.00874903
0.0383436,-0.0296004
0.074999,-0.0573273
0.0511136,-0.0533677
0.0751661,-0.0383301
0.0751661,-0.0383301
0.0789169,-0.00560862
0.0642272,-0.0294482
0.0642272,-0.0294482
0.0876724,0.0138368
0.0876724,0.0138368
0.0243039,0.0129549
0.034094,0.0430446
-0.00669491,0.0339129
0.0261497,0.0338697
-0.0370755,0.0100053
-0.0474536,-0.0518918
-0.0468521,0.00322345
-0.0358475,-0.0492931
-0.0234,-0.0307467
-0.0234,-0.0307467
-0.0234,-0.0307467
-0.0234,-0.0307467
-0.0234,-0.0307467
-0.0234,-0.0307467
-0.0234,-0.0307467
-0.0234,-0.0307467
-0.0234,-0.0307467
-0.0234,-0.0307467
-0.0379167,0.00373072
-0.0599575,-0.0216565
-0.0599575,-0.0216565
-0.0599575,-0.0216565
-0.0123712,-0.0150247
-0.04962,-0.0200015
-0.0565901,0.0150574
-0.097447,-0.000192411
-0.11339,-0.0192841
-0.113889,0.0323695
-0.102031,0.0559895
-0.0975549,0.0420119
-0.0975549,0.0420119
-0.0975549,0.0420119
-0.0526874,0.0598285
-0.0983709,0.0429841
-0.0983709,0.0429841
-0.103303,0.0690416
-0.103303,0.0690416
-0.103303,0.0690416
-0.103303,0.0690416
-0.0301187,0.0210964
-0.0419544,-0.00609668
-0.0129846,0.0209405
-0.0250028,0.0411251
-0.0250028,0.0411251
-0.0512751,0.0803386
-0.0512751,0.0803386
-0.0634089,0.0598313
-0.02881,0.0302395
-0.0395501,0.0509334
-0.0395501,0.0509334
-0.059055,0.0486671
-0.059055,0.0486671
-0.059055,0.0486671
-0.083915,0.0516861
-0.0534898,0.0349127
-0.013646,0.0800664
-0.013646,0.0800664
0.00104246,0.0731056
0.00104246,0.0731056
0.00104246,0.0731056
-0.0291341,0.0553956
-0.034941,0.0494493
-0.0456052,0.042586
-3.77135e-05,0.0723302
-0.0195064,0.0186077
-0.0632832,0.0712795
-0.0584509,0.0776944
-0.0467859,0.0812326
-0.0467859,0.0812326
-0.0386936,0.0204741
0.00932779,0.0440644
-0.0373356,0.0448537
0.0281194,0.0308965
-0.0114107,0.0328979
-0.0114107,0.0328979
0.0375091,-0.0154322
0.0564019,-0.0324229
0.0617329,-0.0256383
0.0729344,-0.0244821
0.0526026,-0.00599351
0.0489197,0.0158422
0.0489197,0.0158422
0.0489197,0.0158422
0.0489197,0.0158422
0.00970426,0.0589242
0.0215445,0.0803596
0.034449,0.00930778
0.0616321,0.0385371
0.011613,0.0241709
-0.00522101,0.0243656
0.027463,0.0416556
0.0349234,0.0643922
0.0349234,0.0643922
0.00495894,0.0231006
0.00495894,0.0231006
0.0382561,0.0308695
0.0396874,0.00680524
0.0399735,-0.0388652
0.0273076,-0.0496596
0.0625596,-0.0517966
0.0645559,-0.0304655
0.0216865,-0.028829
0.042801,-0.00644704
0.0746099,0.0370303
0.0423836,0.0238524
0.0423836,0.0238524
0.0423836,0.0238524
0.0487905,0.0536312
0.019729,0.049678
0.019729,0.049678
0.0530971,0.0406634
0.0530971,0.0406634
0.0530971,0.0406634
0.0546141,0.0472641
0.0164615,0.021555
0.0164615,0.021555
0.0249399,0.0269547
0.0249399,0.0269547
0.0249399,0.0269547
0.0249399,0.0269547
0.0579274,0.00810681
0.0377287,0.0333613
0.0172891,0.0364606
-0.00215829,0.0285144
0.033206,-0.00779963
0.00396145,-0.0318198
0.00396145,-0.0318198
0.00396146,-0.0318198
0.00396146,-0.0318198
0.00396146,-0.0318198
0.00396146,-0.0318198
0.00396146,-0.0318198
0.00396146,-0.0318198
0.0376505,0.0387315
0.0446005,-0.0133346
0.0332368,-0.0172264
0.0332368,-0.0172264
0.0332368,-0.0172264
0.033663,-0.034814
0.0657752,-0.0393271
0.0657752,-0.0393271
0.0920222,-0.0586704
0.0920222,-0.0586704
