T,G,F
1,0.001031,0.002252
2,0.001054,0.002188
3,0.001047,0.00217
4,0.001052,0.002157
5,0.001056,0.002145
6,0.001057,0.002149
7,0.001057,0.002149
8,0.001057,0.002147
9,0.001056,0.002155
10,0.001055,0.002157
11,0.001406,0.002879
12,0.001406,0.002885
13,0.001407,0.002886
14,0.001405,0.002883
15,0.001407,0.002883
16,0.001407,0.002885
17,0.001408,0.00288
18,0.001404,0.002874
19,0.001405,0.002879
20,0.001405,0.002889
21,0.002105,0.004332
22,0.002104,0.004347
23,0.002106,0.004349
24,0.002099,0.004336
25,0.002098,0.004359
26,0.002095,0.004355
27,0.002096,0.004362
28,0.002093,0.004365
29,0.002091,0.004372
30,0.002092,0.004374
31,0.004179,0.008752
32,0.004178,0.008758
33,0.004174,0.008744
34,0.004178,0.008779
35,0.004177,0.008761
36,0.004179,0.008771
37,0.004171,0.008789
38,0.004172,0.008777
39,0.004167,0.008803
40,0.004169,0.008788
41,0.01041,0.02207
42,0.01041,0.02206
43,0.01041,0.02212
44,0.01039,0.02218
45,0.01038,0.02213
46,0.01039,0.02218
47,0.01039,0.02218
48,0.01038,0.02219
49,0.01037,0.02222
50,0.01036,0.02225
51,0.01037,0.02219
52,0.01035,0.0222
53,0.01034,0.02222
54,0.01036,0.02224
55,0.01035,0.02227
56,0.01035,0.02235
57,0.01032,0.0223
58,0.01033,0.02231
59,0.01032,0.0223
60,0.01031,0.02232
61,0.01032,0.02229
62,0.01032,0.02232
63,0.01031,0.02231
64,0.01032,0.02238
65,0.01033,0.02235
66,0.01031,0.02232
67,0.01031,0.02231
68,0.01031,0.02234
69,0.01031,0.02229
70,0.01032,0.02232
71,0.01033,0.02236
72,0.0103,0.02238
73,0.0103,0.02231
74,0.0103,0.02232
75,0.01032,0.02238
76,0.0103,0.02233
77,0.0103,0.02233
78,0.0103,0.02239
79,0.0103,0.02235
80,0.0103,0.02239
81,0.01032,0.02238
82,0.01031,0.02237
83,0.0103,0.02243
84,0.01032,0.0224
85,0.01031,0.02238
86,0.01031,0.02243
87,0.01032,0.02238
88,0.01031,0.02238
89,0.01031,0.02241
90,0.01031,0.02244
91,0.01031,0.0224
92,0.01029,0.02235
93,0.01031,0.02239
94,0.01029,0.02239
95,0.01029,0.02242
96,0.0103,0.02244
97,0.01029,0.02241
98,0.0103,0.02239
99,0.01031,0.02239
100,0.01029,0.02234
101,0.0103,0.02237
102,0.01032,0.02236
103,0.01031,0.02235
104,0.01031,0.02233
105,0.0103,0.02237
106,0.01029,0.02233
107,0.01031,0.02231
108,0.0103,0.02241
109,0.0103,0.02242
110,0.01031,0.02241
111,0.01031,0.02239
112,0.0103,0.02238
113,0.0103,0.02234
114,0.0103,0.02236
115,0.01029,0.0224
116,0.0103,0.02241
117,0.0103,0.02238
118,0.0103,0.02243
119,0.01029,0.02241
120,0.0103,0.02242
121,0.01029,0.02238
122,0.01028,0.02239
123,0.01029,0.02237
124,0.0103,0.02241
125,0.01031,0.02239
126,0.0103,0.02241
127,0.01031,0.0224
128,0.01029,0.02234
129,0.01029,0.02238
130,0.01028,0.02238
131,0.01029,0.02245
132,0.0103,0.02243
133,0.01028,0.02238
134,0.01029,0.02244
135,0.01027,0.02245
136,0.01029,0.02245
137,0.01029,0.02247
138,0.01031,0.02241
139,0.01031,0.02247
140,0.01032,0.02248
141,0.01031,0.02249
142,0.01032,0.02248
143,0.01028,0.02247
144,0.01028,0.02247
145,0.0103,0.02246
146,0.01029,0.02241
147,0.0103,0.02241
148,0.01028,0.02246
149,0.0103,0.02244
150,0.01028,0.02241
151,0.01029,0.02242
152,0.01028,0.02243
153,0.01028,0.02246
154,0.01029,0.02248
155,0.01031,0.02249
156,0.01031,0.02247
157,0.01031,0.02244
158,0.01032,0.02243
159,0.01031,0.02241
160,0.01032,0.02244
161,0.01029,0.02244
162,0.0103,0.02243
163,0.01031,0.02244
164,0.01033,0.02242
165,0.01032,0.02242
166,0.01031,0.0224
167,0.01032,0.02244
168,0.0103,0.02236
169,0.01031,0.02237
170,0.01031,0.02242
171,0.01031,0.02241
172,0.01033,0.02238
173,0.01032,0.02241
174,0.0103,0.02243
175,0.01029,0.02248
176,0.0103,0.02247
177,0.01031,0.02244
178,0.0103,0.02239
179,0.01028,0.0224
180,0.0103,0.02248
181,0.01029,0.02247
182,0.01027,0.0224
183,0.0103,0.02244
184,0.01029,0.02242
185,0.01031,0.02242
186,0.01031,0.02244
187,0.01032,0.02239
188,0.0103,0.02241
189,0.01031,0.02241
190,0.0103,0.02242
191,0.01031,0.0224
192,0.01032,0.02238
193,0.0103,0.02237
194,0.01029,0.0224
195,0.01029,0.02242
196,0.01029,0.02238
197,0.01029,0.02244
198,0.01029,0.02241
199,0.01027,0.02241
200,0.01028,0.02241
201,0.01032,0.02237
202,0.0103,0.02245
203,0.01029,0.02248
204,0.01029,0.0224
205,0.01031,0.02237
206,0.0103,0.02235
207,0.0103,0.02244
208,0.01029,0.02239
209,0.01029,0.02245
210,0.01031,0.02244
211,0.0103,0.02245
212,0.01033,0.02239
213,0.01031,0.02241
214,0.01032,0.02243
215,0.01031,0.02238
216,0.0103,0.02241
217,0.0103,0.0224
218,0.01032,0.02242
219,0.01032,0.02241
220,0.01029,0.0224
221,0.0103,0.02237
222,0.01033,0.0224
223,0.0103,0.02239
224,0.01031,0.02236
225,0.0103,0.0224
226,0.0103,0.02241
227,0.01029,0.02243
228,0.0103,0.02243
229,0.0103,0.02241
230,0.0103,0.02245
231,0.0103,0.02234
232,0.01029,0.02244
233,0.0103,0.02241
234,0.0103,0.02245
235,0.01028,0.0224
236,0.0103,0.02251
237,0.01031,0.02245
238,0.0103,0.02236
239,0.01028,0.02244
240,0.0103,0.02245
241,0.0103,0.02246
242,0.0103,0.02244
243,0.01031,0.02242
244,0.0103,0.02244
245,0.0103,0.02242
246,0.0103,0.02239
247,0.01031,0.02242
248,0.01031,0.02247
249,0.01029,0.02243
250,0.01028,0.0225
251,0.008571,0.01871
252,0.00858,0.0187
253,0.008583,0.01872
254,0.008587,0.01866
255,0.008584,0.01865
256,0.00859,0.0187
257,0.008575,0.01863
258,0.008589,0.01868
259,0.008584,0.01867
260,0.008581,0.01866
261,0.009357,0.02037
262,0.009355,0.0204
263,0.009356,0.02038
264,0.009361,0.02039
265,0.009346,0.02039
266,0.009355,0.02038
267,0.00935,0.02037
268,0.009346,0.02038
269,0.00935,0.02036
270,0.009344,0.02036
271,0.009781,0.02135
272,0.009803,0.0214
273,0.009795,0.0214
274,0.009796,0.0214
275,0.009795,0.02131
276,0.009807,0.02135
277,0.009798,0.02139
278,0.009805,0.02132
279,0.009818,0.0214
280,0.00981,0.02133
281,0.009805,0.02134
282,0.0098,0.0214
283,0.009804,0.02136
284,0.009807,0.0214
285,0.009804,0.02139
286,0.009804,0.02143
287,0.00979,0.0214
288,0.009802,0.02141
289,0.009802,0.02138
290,0.009812,0.02138
291,0.009808,0.02135
292,0.009803,0.02139
293,0.009807,0.02137
294,0.0098,0.02142
295,0.009794,0.02139
296,0.009797,0.02139
297,0.009808,0.02134
298,0.009793,0.02137
299,0.009793,0.02135
300,0.009794,0.02136
301,0.009803,0.02137
302,0.009801,0.02137
303,0.009817,0.02142
304,0.009808,0.0214
305,0.009804,0.02141
306,0.009811,0.02133
307,0.009823,0.02135
308,0.00982,0.02134
309,0.009822,0.02141
310,0.009808,0.02144
311,0.009805,0.02139
312,0.009801,0.02139
313,0.009803,0.0214
314,0.009807,0.02137
315,0.009792,0.02135
316,0.009795,0.02143
317,0.009815,0.02143
318,0.009799,0.02139
319,0.009814,0.02134
320,0.009818,0.02133
321,0.0098,0.02139
322,0.009807,0.02142
323,0.009805,0.0214
324,0.00981,0.02133
325,0.009829,0.02132
326,0.009803,0.02138
327,0.009805,0.02139
328,0.009807,0.02136
329,0.009812,0.02139
330,0.009793,0.02137
331,0.009782,0.02135
332,0.009801,0.02136
333,0.009789,0.02135
334,0.009797,0.02132
335,0.009808,0.02136
336,0.009793,0.02135
337,0.009802,0.02137
338,0.009805,0.02136
339,0.009803,0.02137
340,0.009795,0.02136
341,0.009803,0.02142
342,0.009819,0.02139
343,0.0098,0.02141
344,0.00979,0.02138
345,0.009794,0.02132
346,0.009805,0.02139
347,0.00979,0.0214
