MDTU,link
457,1.08476
458,1.0838
459,1.08349
460,1.08337
461,1.08324
462,1.08317
463,1.08449
464,1.08475
465,1.08379
466,1.08379
467,1.08409
468,1.08409
469,1.08347
470,1.08409
471,1.08679
472,1.08512
473,1.08631
474,1.08566
475,1.08444
476,1.08362
477,1.08468
478,1.08383
479,1.08383
480,1.08383
481,1.08434
482,1.08519
483,1.08519
484,1.08684
485,1.08684
486,1.08684
487,1.08671
488,1.08617
489,1.08617
490,1.08554
491,1.08554
492,1.08554
493,1.08554
494,1.08421
495,1.08482
496,1.08367
497,1.08434
498,1.08369
499,1.08459
500,1.08459
501,1.08459
502,1.08459
503,1.08459
504,1.08459
505,1.08459
506,1.08459
507,1.08311
508,1.08446
509,1.08428
510,1.08428
511,1.08428
512,1.08661
513,1.08651
514,1.08651
515,1.08706
516,1.08706
517,1.08518
518,1.08425
519,1.08433
520,1.08433
521,1.0831
522,1.0831
523,1.08669
524,1.08654
525,1.087
526,1.087
527,1.087
528,1.087
529,1.08717
530,1.0858
531,1.085
532,1.08504
533,1.08472
534,1.08708
535,1.08708
536,1.0856
537,1.08477
538,1.08477
539,1.08477
540,1.08477
541,1.08477
542,1.08538
543,1.08404
544,1.08641
545,1.08478
546,1.08518
547,1.08515
548,1.0851
549,1.08586
550,1.08586
551,1.08586
552,1.08586
553,1.08586
554,1.08586
555,1.08586
556,1.08586
557,1.08282
558,1.08315
559,1.08266
560,1.08287
561,1.08287
562,1.08287
563,1.08449
564,1.08253
565,1.08434
566,1.08308
567,1.08308
568,1.08307
569,1.08336
570,1.08405
571,1.0833
572,1.08177
573,1.08177
574,1.08177
575,1.08347
576,1.08336
577,1.08265
578,1.08337
579,1.08337
580,1.08251
581,1.08495
582,1.08495
583,1.08362
584,1.08359
585,1.08227
586,1.08424
587,1.08424
588,1.08424
589,1.08424
590,1.08424
591,1.08426
592,1.08256
593,1.08366
594,1.08366
595,1.08366
596,1.08366
597,1.08366
598,1.08366
599,1.08366
600,1.08373
601,1.08373
602,1.08288
603,1.08288
604,1.0823
605,1.0823
606,1.0823
607,1.08539
608,1.08539
609,1.08539
610,1.08539
611,1.08258
612,1.08258
613,1.08302
614,1.08115
615,1.08115
616,1.08074
617,1.0825
618,1.0825
619,1.0825
620,1.08281
621,1.08281
622,1.08281
623,1.08483
624,1.0834
625,1.08369
626,1.08333
627,1.08333
628,1.08395
629,1.08373
630,1.08287
631,1.08333
632,1.08293
633,1.08486
634,1.08446
635,1.08446
636,1.08446
637,1.08491
638,1.08322
639,1.08514
640,1.08563
641,1.08617
642,1.08617
643,1.08617
644,1.08538
645,1.08557
646,1.08557
647,1.08557
648,1.08593
649,1.08359
650,1.08359
651,1.0817
652,1.0817
653,1.0817
654,1.08133
655,1.08204
656,1.08204
657,1.08204
658,1.08204
659,1.08252
660,1.07993
661,1.07993
662,1.07993
663,1.07993
664,1.08016
665,1.07982
666,1.08262
667,1.08136
668,1.08208
669,1.08208
670,1.08208
671,1.08072
672,1.0806
673,1.08176
674,1.07978
675,1.08117
676,1.08169
677,1.0828
678,1.08227
679,1.08321
680,1.08074
681,1.08131
682,1.08131
683,1.08131
684,1.08147
685,1.08147
686,1.08078
687,1.08078
688,1.08119
689,1.08074
690,1.07995
691,1.08116
692,1.08258
693,1.08225
694,1.08245
695,1.08275
696,1.08253
697,1.08063
698,1.08206
699,1.08032
700,1.08032
701,1.08032
702,1.08032
703,1.08032
704,1.08078
705,1.08078
706,1.0775
707,1.0775
708,1.0775
709,1.0775
710,1.0775
711,1.0775
712,1.0775
713,1.0775
714,1.07822
715,1.08001
716,1.08001
717,1.08043
718,1.07889
719,1.07819
720,1.0764
721,1.07636
722,1.07636
723,1.07636
724,1.07636
725,1.07669
726,1.07669
727,1.07717
728,1.07717
729,1.08044
730,1.08124
731,1.08124
732,1.08124
733,1.08211
734,1.08211
735,1.08211
736,1.08211
737,1.08203
738,1.08203
739,1.08071
740,1.08153
741,1.08135
742,1.08183
743,1.08048
744,1.0796
745,1.0807
746,1.08162
747,1.08264
748,1.08264
749,1.08169
750,1.08268
751,1.08268
752,1.08276
753,1.08324
754,1.08324
755,1.08269
756,1.08315
757,1.08342
758,1.08342
759,1.08342
760,1.08342
761,1.08342
762,1.08342
763,1.08342
764,1.08411
765,1.08389
766,1.08216
767,1.08255
768,1.08326
769,1.08326
770,1.08425
771,1.086
772,1.08496
773,1.08622
774,1.08718
775,1.08508
776,1.08586
777,1.08549
778,1.08528
779,1.08584
780,1.08863
781,1.08998
782,1.08838
783,1.08838
784,1.09132
785,1.09132
786,1.09132
787,1.09132
788,1.09132
789,1.09132
790,1.09132
791,1.09132
792,1.09132
793,1.09132
794,1.09132
795,1.09132
796,1.09132
797,1.09079
798,1.09102
799,1.09193
800,1.09233
801,1.09327
802,1.09327
803,1.09327
804,1.09064
805,1.08886
806,1.08886
807,1.0886
808,1.08946
809,1.08915
810,1.0896
811,1.0896
812,1.0896
813,1.08983
814,1.09002
815,1.09002
816,1.09024
817,1.09024
818,1.09024
819,1.08904
820,1.08938
821,1.09019
822,1.0879
823,1.08895
824,1.08856
825,1.08711
826,1.08699
827,1.08699
828,1.08806
829,1.08744
830,1.08744
831,1.08874
832,1.08818
833,1.08765
834,1.08612
835,1.08392
836,1.08392
837,1.08563
838,1.08726
839,1.08673
840,1.08748
841,1.08715
842,1.08715
843,1.08715
844,1.08715
845,1.08715
846,1.08715
847,1.08757
848,1.0876
849,1.08708
850,1.08708
851,1.08793
852,1.08553
853,1.08553
854,1.08636
855,1.08675
856,1.08498
857,1.08498
858,1.08584
859,1.08655
860,1.08655
861,1.08768
862,1.08831
863,1.08756
864,1.08865
865,1.08515
866,1.08323
867,1.08359
868,1.08415
869,1.08621
870,1.08499
871,1.08499
872,1.085
873,1.08093
874,1.08164
875,1.08078
876,1.07924
877,1.07873
878,1.08021
879,1.07958
880,1.08035
881,1.07954
882,1.07993
883,1.07993
884,1.07993
885,1.07799
886,1.0801
887,1.08199
888,1.07914
889,1.07914
890,1.0803
891,1.0803
892,1.08087
893,1.08081
894,1.08081
895,1.08081
896,1.08055
897,1.08055
898,1.08012
899,1.08012
900,1.08012
901,1.08184
902,1.08224
903,1.0811
904,1.082
905,1.08258
906,1.08067
907,1.08317
908,1.08317
909,1.08514
910,1.08514
911,1.08514
912,1.08365
913,1.08564
914,1.08564
915,1.08423
916,1.08423
917,1.08546
918,1.08444
919,1.08338
920,1.08412
921,1.08372
922,1.08315
923,1.08315
924,1.08315
925,1.08315
926,1.08315
927,1.08315
928,1.08315
929,1.08481
930,1.08583
931,1.08647
932,1.08835
933,1.08835
934,1.08768
935,1.08768
936,1.08761
937,1.08712
938,1.0901
939,1.08812
940,1.08849
941,1.08849
942,1.08849
943,1.08849
944,1.08849
945,1.08849
946,1.08862
947,1.08862
948,1.08622
949,1.08622
950,1.08712
951,1.08683
952,1.08506
953,1.08506
954,1.08426
955,1.08426
956,1.08426
957,1.08253
958,1.08416
959,1.08616
960,1.08616
961,1.08603
962,1.08556
963,1.08632
964,1.08632
965,1.08729
966,1.08702
967,1.08994
968,1.08994
969,1.08811
970,1.08751
971,1.08751
972,1.08544
973,1.08387
974,1.08387
975,1.08424
976,1.08424
977,1.08332
978,1.08332
979,1.0862
980,1.08558
981,1.08571
982,1.08393
983,1.08425
984,1.08292
985,1.08197
986,1.08197
987,1.08172
988,1.08196
989,1.08174
990,1.08174
991,1.08188
992,1.08188
993,1.08188
994,1.08006
995,1.08128
996,1.08233
997,1.08233
998,1.08431
999,1.08205
1000,1.08205
1001,1.08394
1002,1.08517
1003,1.0851
1004,1.0851
1005,1.08676
1006,1.08513
1007,1.08513
1008,1.08605
1009,1.08541
1010,1.0849
1011,1.08482
1012,1.08539
1013,1.08594
1014,1.08423
