MDTU,|Tr(L)|,ReTr(L),ImTr(L)
178,2.27398,2.22831,0.453423
179,2.22605,2.16337,0.524528
180,2.22605,2.16337,0.524528
181,2.31107,2.2478,0.537081
182,2.21833,2.17024,0.459399
183,2.21833,2.17024,0.459399
184,2.1753,2.12971,0.443007
185,2.3405,2.28348,0.513499
186,2.25498,2.21853,0.403822
187,2.28704,2.2432,0.44564
188,2.28704,2.2432,0.44564
189,2.28704,2.2432,0.44564
190,2.28704,2.2432,0.44564
191,2.28704,2.2432,0.44564
192,2.28704,2.2432,0.44564
193,2.28704,2.2432,0.44564
194,2.28576,2.24706,0.41883
195,2.3351,2.28351,0.488136
196,2.3307,2.30313,0.357449
197,2.3307,2.30313,0.357449
198,2.3307,2.30313,0.357449
199,2.3307,2.30313,0.357449
200,2.26325,2.24264,0.304758
201,2.26325,2.24264,0.304758
202,2.27932,2.25956,0.299476
203,2.27932,2.25956,0.299476
204,2.31299,2.28811,0.338321
205,2.24982,2.2048,0.447827
206,2.30974,2.27343,0.407991
207,2.44402,2.40382,0.441441
208,2.44402,2.40382,0.441441
209,2.29025,2.24487,0.453625
210,2.29025,2.24487,0.453625
211,2.15844,2.13436,0.321485
212,2.13444,2.10341,0.36261
213,2.1787,2.16706,0.224881
214,2.1787,2.16706,0.224881
215,2.1787,2.16706,0.224881
216,2.22764,2.21873,0.199126
217,2.22764,2.21873,0.199126
218,2.22764,2.21873,0.199126
219,2.22474,2.21201,0.237604
220,2.23286,2.22704,0.161158
221,2.17206,2.16253,0.203284
222,2.17206,2.16253,0.203284
223,2.17206,2.16253,0.203284
224,2.10215,2.09796,0.132615
225,2.10215,2.09796,0.132615
226,2.20509,2.19905,0.163146
227,2.1439,2.1439,-0.00286772
228,2.1465,2.1416,0.145008
229,2.18787,2.17881,0.198875
230,2.1725,2.17092,-0.0827631
231,2.1725,2.17092,-0.0827631
232,2.25614,2.25564,0.0474347
233,2.25614,2.25564,0.0474347
234,2.25078,2.24607,0.145386
235,2.28534,2.28492,0.0435463
236,2.24669,2.23326,0.245267
237,2.24669,2.23326,0.245267
238,2.24669,2.23326,0.245267
