T,G,F
1,0.01524,0.02677
2,0.0124,0.02514
3,0.0124,0.02521
4,0.01238,0.0251
5,0.01241,0.02502
6,0.01243,0.02502
7,0.01246,0.02489
8,0.01251,0.02495
9,0.01245,0.0249
10,0.01244,0.02497
11,0.01251,0.02496
12,0.01246,0.02496
13,0.01247,0.02495
14,0.01246,0.02493
15,0.01245,0.02488
16,0.01246,0.02493
17,0.01248,0.02494
18,0.01248,0.02485
19,0.01249,0.02485
20,0.01249,0.02483
21,0.01251,0.02481
22,0.01256,0.02483
23,0.01251,0.0248
24,0.0125,0.02481
25,0.01255,0.0248
26,0.01252,0.02473
27,0.01255,0.0248
28,0.01253,0.02474
29,0.01255,0.02475
30,0.01254,0.02472
31,0.01258,0.02466
32,0.01261,0.02464
33,0.01258,0.02474
34,0.01255,0.02462
35,0.0126,0.02468
36,0.01259,0.0247
37,0.0126,0.02454
38,0.01263,0.02459
39,0.01259,0.02459
40,0.01262,0.02462
41,0.01261,0.0246
42,0.01261,0.02457
43,0.01264,0.02465
44,0.0126,0.02455
45,0.01259,0.02459
46,0.01261,0.02459
47,0.01262,0.02458
48,0.01261,0.02454
49,0.01264,0.02449
50,0.0127,0.02444
51,0.01269,0.02443
52,0.01273,0.02442
53,0.01271,0.0244
54,0.01272,0.0244
55,0.01272,0.02444
56,0.01272,0.02444
57,0.01268,0.02437
58,0.01268,0.02442
59,0.01268,0.02442
60,0.01269,0.0244
61,0.01268,0.02435
62,0.01272,0.02438
63,0.01274,0.0244
64,0.01273,0.02443
65,0.01268,0.0244
66,0.01272,0.02442
67,0.01271,0.02439
68,0.01269,0.02433
69,0.01275,0.02433
70,0.01272,0.02435
71,0.01274,0.02431
72,0.01276,0.02433
73,0.01277,0.02424
74,0.01276,0.02428
75,0.01274,0.02425
76,0.01274,0.02425
77,0.01274,0.02428
78,0.01277,0.02424
79,0.01274,0.0243
80,0.01277,0.02428
81,0.01276,0.02435
82,0.01271,0.02433
83,0.01276,0.02438
84,0.01274,0.02434
85,0.01274,0.02435
86,0.01273,0.02433
87,0.01277,0.02426
88,0.01274,0.02432
89,0.01275,0.02433
90,0.01274,0.02431
91,0.01277,0.02429
92,0.01276,0.02434
93,0.01274,0.02428
94,0.01277,0.02424
95,0.01278,0.02421
96,0.01279,0.02421
97,0.01284,0.02415
98,0.01278,0.02423
99,0.0128,0.02416
100,0.01281,0.02411
101,0.01283,0.02406
102,0.01284,0.02407
103,0.01286,0.024
104,0.01283,0.02401
105,0.01289,0.02401
106,0.0129,0.02396
107,0.01285,0.02394
108,0.01291,0.02396
109,0.0129,0.0239
110,0.01289,0.02393
111,0.0129,0.0239
112,0.01295,0.02394
113,0.01289,0.02391
114,0.01294,0.02393
115,0.01292,0.02387
116,0.01295,0.02394
117,0.01289,0.02389
118,0.01291,0.02391
119,0.01298,0.0239
120,0.01299,0.02376
121,0.01297,0.02379
122,0.01294,0.02381
123,0.01293,0.02383
124,0.01301,0.02374
125,0.013,0.0237
126,0.01303,0.02365
127,0.01306,0.0236
128,0.01306,0.02362
129,0.01304,0.02358
130,0.01308,0.02356
131,0.01312,0.02351
132,0.01309,0.02348
133,0.01311,0.02347
134,0.01315,0.02352
135,0.01313,0.02352
136,0.01315,0.02346
137,0.01312,0.02344
138,0.01313,0.02349
139,0.01315,0.02347
140,0.01313,0.02345
141,0.01314,0.02344
142,0.01315,0.0234
143,0.01318,0.02336
144,0.01318,0.02334
145,0.0132,0.0233
146,0.01319,0.02335
147,0.01316,0.02329
148,0.01316,0.02334
149,0.01319,0.02332
150,0.01317,0.02331
151,0.0132,0.02337
152,0.01316,0.02336
153,0.01317,0.02333
154,0.01316,0.02332
155,0.01322,0.02334
156,0.01319,0.02329
157,0.01317,0.02328
158,0.01317,0.02332
159,0.01318,0.02336
160,0.01319,0.02332
161,0.01323,0.02329
162,0.01323,0.0233
163,0.01319,0.02328
164,0.01317,0.02333
165,0.01317,0.02325
166,0.01318,0.02333
167,0.01322,0.02337
168,0.01319,0.02333
169,0.01324,0.02324
170,0.01318,0.02332
171,0.01322,0.02326
172,0.0132,0.02324
173,0.01321,0.02329
174,0.01319,0.0233
175,0.01317,0.02329
176,0.01319,0.0233
177,0.01318,0.0233
178,0.01318,0.02329
179,0.01322,0.02332
