1,-18.21
2,0.228
3,1.001
4,1.055
5,0.118
6,2.399
7,1.336
8,1.733
9,-0.5116
10,1.534
11,0.5939
12,1.224
13,0.8073
14,2.256
15,1.946
16,1.372
17,0.1339
18,-0.008495
19,0.5269
20,0.8971
21,-0.06928
22,0.4062
23,0.1676
24,1.492
25,0.6179
26,0.8263
27,-0.1365
28,1.032
29,-1.038
30,1.299
31,2.11
32,1.254
33,1.069
34,1.399
35,0.6747
36,1.261
37,1.376
38,1.803
39,-0.3149
40,1.208
41,-0.426
42,0.3487
43,-0.4408
44,1.548
45,0.2338
46,0.4309
47,1.056
48,0.3615
49,1.071
50,0.8386
51,0.04916
52,-0.4044
53,0.5921
54,2.108
55,0.8148
56,-0.6674
57,0.9604
58,0.2013
59,0.4869
60,-0.1118
61,1.578
62,-0.155
63,0.6097
64,1.37
65,0.5765
66,1.068
67,1.227
68,0.794
69,-0.03701
70,-0.45
71,0.1658
72,0.8299
73,-0.7308
74,-0.2119
75,1.569
76,-0.8255
77,0.5345
78,0.8947
79,0.6602
80,0.7357
81,1.218
82,0.6297
83,1.078
84,-0.4044
85,0.3763
86,1.112
87,0.4025
88,1.187
89,0.9451
90,1.379
91,0.972
92,0.3277
93,0.5571
94,0.09957
95,0.01415
96,1.677
97,0.7774
98,0.8506
99,1.144
100,1.416
101,0.01477
102,-0.6043
103,0.6341
104,0.6299
105,1.386
106,0.5614
107,0.8128
108,-0.01872
109,-0.08825
110,0.5176
111,-0.5916
112,1.741
113,1.476
114,1.91
115,0.1839
116,0.2707
117,1
118,1.293
119,1.2
120,-0.3278
121,0.2683
122,1.337
123,0.8874
124,0.2399
125,0.3545
126,0.1896
127,0.6719
128,-0.02069
129,0.7768
130,0.9158
131,-0.02354
132,0.6206
133,0.8407
134,0.825
135,0.1627
136,0.2988
137,0.586
138,0.5441
139,1.194
140,0.04985
141,-0.1275
142,0.7581
143,-0.2313
144,-0.197
145,-0.01313
146,0.5394
147,0.8204
148,1.049
149,0.03421
150,-0.5131
151,1.235
152,-0.1784
153,0.2899
154,0.05095
155,0.1994
156,-0.01421
157,0.2905
158,0.00792
159,0.9456
160,0.07495
161,0.4425
162,0.06652
163,-0.5802
164,0.4633
165,1.088
166,-0.8384
167,0.3609
168,-0.04744
169,0.3955
170,1.369
171,0.2456
172,-0.2571
173,0.1801
174,0.6471
175,-0.01239
176,-0.6424
177,0.1681
178,1.062
179,2.146
180,0.7926
181,0.4459
182,0.336
183,1.806
184,1.515
185,-0.2224
186,0.4882
187,0.01602
188,-0.3287
189,-0.3893
190,0.3725
191,0.2737
192,0.6279
193,-0.3
194,0.49
195,0.6199
196,0.8613
197,1.044
198,-0.106
199,0.7982
200,0.6416
201,-0.07892
202,-0.387
203,1.245
204,-0.1255
205,0.6026
206,0.7236
207,0.9157
208,0.3247
209,-0.7784
210,0.1542
211,-0.2976
212,0.7283
213,-0.8606
214,0.9828
215,0.4472
216,0.3503
217,1.087
218,-0.4039
219,-0.1839
220,0.7746
221,-0.1675
222,0.5494
223,-0.3726
224,0.5795
225,-0.1091
226,-0.4169
227,0.2107
228,-0.8007
229,-0.3516
230,-1.515
231,0.4469
232,0.2154
233,-0.07776
234,0.4325
235,-0.2845
236,0.6662
237,-0.3324
238,-0.4203
239,0.5592
240,-0.2345
241,1.319
242,-0.3033
243,0.8928
244,0.8871
245,-0.5942
246,0.8231
247,-0.8166
248,0.9095
249,0.8664
250,1.499
251,-0.3437
252,1.115
253,2.301
254,1.351
255,-0.6311
256,0.1367
257,-0.7123
258,1.311
259,0.3474
260,0.8491
261,0.07866
262,-1.209
263,1.53
264,-0.2315
265,0.9112
266,0.9479
267,0.3224
268,0.7339
269,0.4232
270,0.001732
271,1.334
272,1.046
273,0.4286
274,0.1075
275,2.275
276,1.153
277,0.4257
278,0.276
279,1.065
280,0.3935
281,-0.01265
282,0.06172
283,0.3097
284,1.876
285,0.1496
286,0.1622
287,0.5007
288,0.8844
289,-0.04797
290,0.356
291,0.5906
292,0.3599
293,0.5683
294,1.158
295,-0.04637
296,-0.1958
297,-0.2174
298,-0.5432
299,-0.9152
300,0.4139
301,0.3064
302,0.2927
303,-1.906
304,0.704
305,0.302
306,-0.2683
307,0.1719
308,0.563
309,-0.6076
310,0.1264
311,1.258
312,0.5131
313,-0.1401
314,0.7982
315,0.9011
316,0.2685
317,1.159
318,-0.04938
319,0.6074
320,-1.025
321,0.3856
322,-0.5438
323,1.307
324,-0.2167
325,1.454
326,-0.2719
327,1.394
328,0.2271
329,-0.2857
330,-1.143
331,0.8959
332,0.1841
333,1.143
334,1.332
335,0.5252
336,0.9244
337,-1.421
338,0.4954
339,-0.4305
340,0.5984
341,-0.1034
342,0.6825
343,-0.2546
344,-0.5676
345,-1.295
346,0.5037
347,-0.5849
348,-0.1878
349,1.839
350,0.8923
351,1.301
352,-0.3301
353,-0.4606
354,-0.2721
355,-0.1967
356,-0.1457
357,1.702
358,0.1139
359,0.4817
360,-1.59
361,0.2633
362,0.1934
363,0.552
