MDTU,min_width,max_width
248,0.151547,0.0837957
249,0.151973,0.086831
250,0.140995,0.0943529
251,0.149721,0.0926398
252,0.148056,0.0920578
253,0.148136,0.0935694
254,0.148883,0.0957847
255,0.143315,0.0898308
256,0.157982,0.0916326
257,0.143304,0.0903295
258,0.151807,0.0871633
259,0.155522,0.0901888
260,0.161648,0.0954498
261,0.168769,0.0932059
262,0.159396,0.080622
263,0.159089,0.0872684
264,0.151396,0.0926
265,0.161327,0.0959588
266,0.157429,0.0904875
267,0.173624,0.0923808
268,0.163239,0.100081
269,0.165843,0.102318
270,0.165843,0.102318
271,0.165843,0.102318
272,0.171098,0.103655
273,0.174609,0.0974164
274,0.173877,0.0845691
275,0.158205,0.0795634
276,0.154691,0.0794555
277,0.152432,0.0815479
278,0.144755,0.0819617
279,0.153283,0.0841888
280,0.153283,0.0841888
281,0.150879,0.0760452
282,0.144685,0.0757257
283,0.146201,0.0720548
284,0.153773,0.0738321
285,0.145314,0.0698456
286,0.145314,0.0698456
287,0.145333,0.0759307
288,0.147371,0.0735095
289,0.147566,0.0736138
290,0.14758,0.0770643
291,0.154361,0.0757896
292,0.153206,0.0821668
293,0.151762,0.0780243
294,0.160468,0.0797438
295,0.147695,0.0872695
296,0.15547,0.0849931
297,0.148575,0.0803354
298,0.148575,0.0803354
299,0.148575,0.0803354
300,0.158929,0.0796634
301,0.154231,0.0788573
302,0.180103,0.079268
303,0.167846,0.0819044
304,0.177021,0.0771513
305,0.167925,0.0723907
306,0.188071,0.0791629
307,0.206246,0.0784235
308,0.187166,0.0793281
309,0.195623,0.084319
310,0.189262,0.0839047
311,0.227162,0.0773504
312,0.199623,0.0794137
313,0.187599,0.0753833
314,0.187599,0.0753833
315,0.212256,0.0791678
316,0.222028,0.0801732
317,0.199009,0.0847259
318,0.199731,0.0824448
319,0.184835,0.0840843
320,0.185037,0.0753047
321,0.202635,0.0761063
322,0.236192,0.0794418
323,0.225035,0.080274
324,0.209054,0.0833519
325,0.199102,0.0823502
326,0.185304,0.0897339
327,0.182925,0.0886947
328,0.181832,0.0864934
329,0.199725,0.089571
330,0.199992,0.0932857
331,0.20069,0.100309
332,0.19161,0.0998216
333,0.175809,0.0893278
334,0.191872,0.0934392
335,0.188801,0.092098
336,0.182339,0.0824154
337,0.175245,0.0886556
338,0.192675,0.0790265
339,0.181768,0.0832152
340,0.175618,0.082085
341,0.177986,0.0792773
342,0.19913,0.080716
343,0.193038,0.086893
344,0.190099,0.0759652
345,0.203001,0.0761242
346,0.214643,0.0789513
347,0.214643,0.0789513
348,0.214643,0.0789513
349,0.219163,0.0828111
350,0.186239,0.078617
351,0.20336,0.0778469
352,0.180713,0.0777782
353,0.158689,0.0845347
354,0.167887,0.0841812
355,0.170732,0.0873373
356,0.172135,0.0842372
357,0.172135,0.0842372
358,0.166132,0.0791493
359,0.150781,0.0807044
360,0.151342,0.0816421
361,0.142468,0.0856097
362,0.152241,0.0811542
363,0.155531,0.0892757
364,0.150802,0.086506
365,0.163704,0.0827992
366,0.156698,0.0801918
367,0.147446,0.0800649
368,0.147446,0.0800649
369,0.151479,0.0831386
370,0.14955,0.0758225
371,0.141007,0.074242
372,0.151631,0.0772493
373,0.153497,0.0754882
374,0.159518,0.0802036
375,0.151048,0.0737193
376,0.146594,0.0788893
377,0.164791,0.0752007
378,0.144104,0.0726073
379,0.143929,0.0747813
380,0.149424,0.069465
381,0.149424,0.069465
382,0.155698,0.0724961
383,0.145483,0.0718917
384,0.140895,0.0744893
385,0.13292,0.0696651
386,0.137067,0.0711012
387,0.146618,0.0708095
388,0.146618,0.0708095
389,0.145961,0.0762055
390,0.141865,0.0755517
391,0.139756,0.0755806
392,0.138998,0.0752333
393,0.134052,0.0721951
394,0.139549,0.0721816
395,0.14108,0.0770309
396,0.14166,0.0760656
397,0.14148,0.0785866
398,0.146441,0.0866974
399,0.147345,0.0833138
400,0.14348,0.0854334
401,0.147374,0.0805741
402,0.138241,0.0805876
403,0.143503,0.0787841
404,0.14081,0.078228
405,0.14081,0.078228
406,0.161221,0.077824
407,0.150496,0.0771755
408,0.13639,0.0759001
409,0.13639,0.0759001
410,0.14619,0.0810755
411,0.145415,0.077648
412,0.152378,0.0783812
413,0.146404,0.075123
414,0.144164,0.0786646
415,0.143961,0.0777391
416,0.150995,0.0755914
417,0.156948,0.0773948
418,0.152024,0.0786582
419,0.154226,0.0889616
420,0.154006,0.0780051
421,0.163238,0.0842065
422,0.168873,0.0789282
423,0.173017,0.0777856
424,0.161172,0.0757002
425,0.168232,0.0762183
426,0.164115,0.0745633
427,0.165461,0.0730553
428,0.153357,0.0745922
429,0.152195,0.0750688
430,0.160372,0.0777177
431,0.178843,0.0770799
432,0.168861,0.0744247
433,0.193865,0.0729327
434,0.177071,0.0736364
435,0.1751,0.0761665
436,0.171015,0.0714102
437,0.177944,0.076842
438,0.178491,0.0760344
439,0.168727,0.0805793
440,0.16483,0.0867093
441,0.156966,0.0881927
442,0.157949,0.0761973
443,0.154112,0.0802019
444,0.154112,0.0802019
445,0.17961,0.0789084
446,0.17961,0.0789084
447,0.181683,0.0784386
448,0.175819,0.0792122
