MDTU,|Tr(L)|,ReTr(L),ImTr(L)
176,0.488543,0.326389,-0.363517
177,0.519449,0.339183,-0.393423
178,0.603257,0.400137,-0.451453
179,0.627877,0.340393,-0.5276
180,0.564881,0.20303,-0.527133
181,0.485738,0.123356,-0.469813
182,0.387328,0.141319,-0.360627
183,0.311808,0.177417,-0.256412
184,0.346026,0.131263,-0.320163
185,0.461943,0.10449,-0.44997
186,0.375863,0.150194,-0.34455
187,0.360614,0.0970227,-0.347317
188,0.348266,0.0742157,-0.340267
189,0.315005,0.0670527,-0.307786
190,0.428882,0.170111,-0.393703
191,0.492922,0.174739,-0.46091
192,0.592756,0.141684,-0.575573
193,0.576446,0.0891293,-0.569513
194,0.526541,0.0290266,-0.52574
195,0.478069,0.0708297,-0.472793
196,0.643435,0.0913523,-0.636917
197,0.620427,0.112477,-0.610147
198,0.60102,0.153578,-0.581067
199,0.636682,0.0956657,-0.629453
200,0.564112,0.198193,-0.52815
201,0.571613,0.222944,-0.526343
202,0.484621,0.104351,-0.473253
203,0.558977,0.253356,-0.498263
204,0.606647,0.281997,-0.53712
205,0.628739,0.237345,-0.58222
206,0.642543,0.194063,-0.612537
207,0.655564,0.373687,-0.53863
208,0.648356,0.409567,-0.502613
209,0.624362,0.47367,-0.406773
210,0.584491,0.46432,-0.355017
211,0.646787,0.474833,-0.439167
212,0.618051,0.50181,-0.360797
213,0.715939,0.585327,-0.412263
214,0.676277,0.53618,-0.412143
215,0.665762,0.490967,-0.449657
216,0.648769,0.351817,-0.545093
217,0.697386,0.332545,-0.612993
218,0.675161,0.33825,-0.58432
219,0.701918,0.323967,-0.622683
220,0.707616,0.362577,-0.607667
221,0.71579,0.43468,-0.56869
222,0.719311,0.494997,-0.521907
223,0.691744,0.37808,-0.57928
224,0.670325,0.409853,-0.53043
225,0.718321,0.466053,-0.546607
226,0.602445,0.44193,-0.409437
227,0.643681,0.33881,-0.547297
228,0.648348,0.4046,-0.50661
229,0.705215,0.42637,-0.561727
230,0.669826,0.399983,-0.53729
231,0.680997,0.362323,-0.57661
232,0.729548,0.464983,-0.562167
233,0.703613,0.314906,-0.62921
234,0.704167,0.385023,-0.589583
235,0.704442,0.321074,-0.627017
236,0.687925,0.288723,-0.624403
237,0.687925,0.288723,-0.624403
238,0.617506,0.263005,-0.558697
239,0.617506,0.263005,-0.558697
240,0.682907,0.293282,-0.616723
241,0.682907,0.293282,-0.616723
242,0.685829,0.293172,-0.62001
243,0.716683,0.411983,-0.586433
244,0.674146,0.388957,-0.550623
245,0.710378,0.528963,-0.474167
246,0.638847,0.377867,-0.515113
247,0.621979,0.231412,-0.577327
248,0.655081,0.371613,-0.539477
249,0.472038,0.272009,-0.385787
250,0.53109,0.369853,-0.381137
251,0.545057,0.466417,-0.282032
252,0.57598,0.41542,-0.398973
253,0.672653,0.524417,-0.421247
254,0.556996,0.43074,-0.35314
255,0.529479,0.419,-0.323708
256,0.654937,0.48057,-0.444967
257,0.749138,0.621213,-0.41869
258,0.733709,0.495517,-0.541103
259,0.723155,0.483617,-0.53765
260,0.657825,0.4659,-0.464403
261,0.659083,0.527117,-0.39565
262,0.7041,0.622307,-0.32938
263,0.72105,0.585217,-0.42123
264,0.733372,0.67816,-0.279167
265,0.748065,0.721217,-0.198614
266,0.703697,0.690383,-0.136239
267,0.708757,0.655353,-0.269906
268,0.713989,0.666423,-0.256244
269,0.64368,0.51387,-0.387637
270,0.64368,0.51387,-0.387637
271,0.64368,0.51387,-0.387637
272,0.727252,0.64511,-0.33575
273,0.702562,0.57936,-0.39741
274,0.739751,0.715017,-0.189692
275,0.624891,0.60896,-0.140201
276,0.625224,0.625117,-0.0116114
277,0.708935,0.706287,0.0612243
278,0.649728,0.641813,0.101107
279,0.696178,0.696177,0.00137945
280,0.696178,0.696177,0.00137945
281,0.705409,0.70084,0.080157
282,0.634401,0.63072,0.0682403
283,0.693881,0.671113,0.176288
284,0.698025,0.643813,0.269709
285,0.714712,0.689487,0.188205
286,0.714712,0.689487,0.188205
287,0.717226,0.71469,0.060257
288,0.696156,0.690853,-0.085758
289,0.677632,0.641897,-0.217149
290,0.751583,0.654437,-0.36958
291,0.740248,0.634047,-0.382037
292,0.727758,0.53112,-0.497537
293,0.685084,0.54249,-0.418383
294,0.682434,0.513743,-0.449203
295,0.646986,0.40334,-0.505873
296,0.677073,0.520473,-0.433053
297,0.743738,0.650703,-0.360183
298,0.743738,0.650703,-0.360183
299,0.743738,0.650703,-0.360183
300,0.696395,0.607063,-0.341233
301,0.685486,0.63794,-0.250846
302,0.698751,0.679477,-0.162986
303,0.685231,0.64379,-0.234683
304,0.746482,0.745847,0.0307847
305,0.741697,0.741023,0.0315996
306,0.654478,0.647157,0.0976213
307,0.674098,0.62851,0.243688
308,0.681291,0.588743,0.34284
309,0.665424,0.612903,0.259112
310,0.66008,0.575047,0.324079
311,0.546325,0.51596,0.179602
312,0.550895,0.517887,0.187827
313,0.446968,0.42774,0.129688
314,0.446968,0.42774,0.129688
315,0.456811,0.427233,0.161702
316,0.346463,0.32434,0.12182
317,0.446627,0.37967,0.235216
318,0.385218,0.317875,0.217597
319,0.235164,0.233589,0.0271733
320,0.328631,0.239003,0.225556
321,0.424927,0.196576,0.376723
322,0.404961,0.147628,0.377093
323,0.389156,0.198933,0.334467
324,0.250213,0.186612,0.166681
325,0.224234,0.155093,0.161948
326,0.312274,0.187513,0.249708
327,0.310823,0.179307,0.25389
328,0.273303,0.19449,0.192011
329,0.269003,0.249703,0.100054
330,0.268781,0.232101,0.135543
331,0.26105,0.259042,0.0323205
332,0.163451,0.152162,0.0596927
333,0.217297,0.216867,-0.0136509
334,0.124944,0.110303,0.0586863
335,0.11085,0.092714,0.060761
