MDTU,min_ave,max_ave
246,-0.297507,0.263698
247,-0.30572,0.268654
248,-0.296966,0.263143
249,-0.306945,0.267448
250,-0.300305,0.264603
251,-0.310824,0.27079
252,-0.301515,0.262052
253,-0.307783,0.267586
254,-0.310907,0.265975
255,-0.306193,0.263701
256,-0.316252,0.270629
257,-0.310172,0.266387
258,-0.318152,0.263763
259,-0.328849,0.274695
260,-0.337663,0.277064
261,-0.352777,0.289243
262,-0.333493,0.275583
263,-0.330884,0.270484
264,-0.330428,0.275495
265,-0.348354,0.274626
266,-0.337042,0.269171
267,-0.342458,0.270497
268,-0.333022,0.271211
269,-0.342428,0.270662
270,-0.342428,0.270662
271,-0.342428,0.270662
272,-0.339647,0.270371
273,-0.337833,0.267944
274,-0.334565,0.270512
275,-0.325848,0.268677
276,-0.324954,0.270872
277,-0.319179,0.26353
278,-0.307757,0.264121
279,-0.314078,0.262738
280,-0.314078,0.262738
281,-0.308454,0.266865
282,-0.300754,0.263536
283,-0.307486,0.267042
284,-0.318613,0.264279
285,-0.305514,0.263658
286,-0.305514,0.263658
287,-0.302901,0.261821
288,-0.313501,0.262814
289,-0.318381,0.262167
290,-0.307364,0.257666
291,-0.301342,0.262418
292,-0.290727,0.257872
293,-0.295242,0.261466
294,-0.302866,0.256673
295,-0.297961,0.260259
296,-0.304399,0.257125
297,-0.294802,0.255017
298,-0.294802,0.255017
299,-0.294802,0.255017
300,-0.304968,0.257169
301,-0.297785,0.250259
302,-0.31313,0.256006
303,-0.308701,0.254111
304,-0.310785,0.260135
305,-0.30523,0.251677
306,-0.321491,0.254256
307,-0.330439,0.253579
308,-0.304245,0.24272
309,-0.312386,0.247267
310,-0.306091,0.244259
311,-0.328832,0.256679
312,-0.325359,0.261589
313,-0.310991,0.255699
314,-0.310991,0.255699
315,-0.320662,0.258513
316,-0.32631,0.262967
317,-0.316327,0.263808
318,-0.32376,0.262123
319,-0.321055,0.264214
320,-0.319126,0.261801
321,-0.317659,0.261024
322,-0.338123,0.267643
323,-0.327454,0.258921
324,-0.326768,0.25618
325,-0.306231,0.249661
326,-0.306787,0.253503
327,-0.310539,0.254261
328,-0.309522,0.252569
329,-0.325611,0.257869
330,-0.318189,0.254191
331,-0.318948,0.253216
332,-0.320953,0.252968
333,-0.305379,0.251302
334,-0.309123,0.253276
335,-0.312478,0.257113
336,-0.305516,0.260475
337,-0.299949,0.261633
338,-0.322796,0.271667
339,-0.313302,0.261605
340,-0.307723,0.26283
341,-0.31784,0.265364
342,-0.33057,0.266706
343,-0.333534,0.279358
344,-0.334531,0.277261
345,-0.344872,0.286831
346,-0.357182,0.287872
347,-0.357182,0.287872
348,-0.357182,0.287872
349,-0.339619,0.278972
350,-0.325173,0.273103
351,-0.322014,0.258778
352,-0.31032,0.255388
353,-0.294689,0.250607
354,-0.294336,0.245305
355,-0.295244,0.246663
356,-0.292159,0.244909
357,-0.292159,0.244909
358,-0.289191,0.24465
359,-0.28424,0.240856
360,-0.276127,0.238035
361,-0.266571,0.231755
362,-0.270716,0.231691
363,-0.271593,0.231387
364,-0.26649,0.22957
365,-0.279178,0.236347
366,-0.271616,0.234682
367,-0.270577,0.2389
368,-0.270577,0.2389
369,-0.273903,0.233561
370,-0.277722,0.239171
371,-0.270621,0.239501
372,-0.275568,0.23831
373,-0.269413,0.232043
374,-0.272368,0.233765
375,-0.269854,0.239129
376,-0.268634,0.237491
377,-0.27758,0.234872
378,-0.270797,0.236314
379,-0.271251,0.235317
380,-0.269408,0.240248
381,-0.269408,0.240248
382,-0.278104,0.242633
383,-0.265797,0.236277
384,-0.264346,0.236887
385,-0.252738,0.230481
386,-0.26624,0.237171
387,-0.273041,0.235913
388,-0.273041,0.235913
389,-0.272837,0.238587
390,-0.276539,0.239193
391,-0.279481,0.244543
392,-0.273371,0.237054
393,-0.270604,0.237092
394,-0.274475,0.238054
395,-0.272685,0.23461
396,-0.267764,0.235173
397,-0.274368,0.244842
398,-0.287612,0.253367
399,-0.284715,0.250275
400,-0.292338,0.257631
401,-0.298447,0.263321
402,-0.279948,0.258436
403,-0.277302,0.253137
404,-0.281895,0.255502
405,-0.281895,0.255502
406,-0.297667,0.272069
407,-0.284754,0.259755
408,-0.283429,0.252987
409,-0.283429,0.252987
410,-0.290856,0.258515
411,-0.289705,0.260733
412,-0.286988,0.254466
413,-0.287034,0.256746
414,-0.2809,0.253745
415,-0.278622,0.255576
416,-0.278181,0.251345
417,-0.282142,0.249698
418,-0.279791,0.248206
419,-0.293912,0.259584
420,-0.298895,0.255502
421,-0.301182,0.258587
422,-0.300536,0.258979
423,-0.301974,0.256357
424,-0.302616,0.256492
425,-0.30837,0.258292
426,-0.29882,0.262792
427,-0.299662,0.262743
428,-0.308698,0.265698
429,-0.309914,0.271607
430,-0.307804,0.272863
431,-0.319417,0.283005
432,-0.309556,0.273488
433,-0.311804,0.27445
434,-0.302749,0.278673
435,-0.3009,0.267099
436,-0.307463,0.270788
437,-0.309648,0.270661
438,-0.319304,0.274059
439,-0.335295,0.292528
440,-0.334896,0.295359
441,-0.320727,0.277436
442,-0.321083,0.283973
443,-0.321303,0.280325
444,-0.321303,0.280325
445,-0.321306,0.284033
446,-0.321306,0.284033
447,-0.324715,0.28675
448,-0.331992,0.287973
449,-0.324506,0.292012
450,-0.32555,0.288097
451,-0.318214,0.284009
452,-0.328091,0.277745
453,-0.321832,0.279136
454,-0.307816,0.268194
455,-0.302713,0.261283
456,-0.296601,0.258944
457,-0.296736,0.258935
458,-0.284245,0.253216
459,-0.288715,0.243341
460,-0.282002,0.23723
461,-0.281797,0.242316
462,-0.283632,0.24241
463,-0.283577,0.243481
464,-0.279291,0.249049
465,-0.286052,0.250632
466,-0.295625,0.259792
467,-0.291218,0.25285
468,-0.289792,0.257826
469,-0.280197,0.245436
470,-0.287961,0.25284
471,-0.286159,0.250285
472,-0.284302,0.243624
473,-0.282147,0.239017
474,-0.276601,0.236658
475,-0.27736,0.237109
476,-0.269478,0.233424
477,-0.268636,0.23713
478,-0.272035,0.239338
479,-0.272226,0.231894
480,-0.264448,0.226814
481,-0.267914,0.232695
482,-0.268847,0.237462
483,-0.277807,0.243215
484,-0.269409,0.236384
485,-0.277271,0.240622
486,-0.273688,0.239064
487,-0.283882,0.248116
488,-0.289905,0.240803
489,-0.288848,0.242504
490,-0.288445,0.238582
491,-0.297311,0.246114
492,-0.288244,0.234892
493,-0.288067,0.234662
494,-0.288572,0.236427
495,-0.285868,0.238822
496,-0.299225,0.235725
497,-0.292991,0.235854
498,-0.292991,0.235854
499,-0.289781,0.234247
500,-0.291787,0.23824
501,-0.291787,0.23824
502,-0.291083,0.24109
503,-0.288118,0.241806
504,-0.289839,0.240723
505,-0.29263,0.243992
506,-0.290817,0.248691
507,-0.290817,0.248691
508,-0.293189,0.255417
509,-0.29219,0.248888
510,-0.29567,0.251895
511,-0.297571,0.253596
512,-0.297571,0.253596
513,-0.311098,0.257799
514,-0.307888,0.255831
515,-0.300671,0.260398
516,-0.311147,0.266071
517,-0.28923,0.256281
518,-0.285146,0.256611
519,-0.279537,0.255973
520,-0.282421,0.256812
521,-0.2912,0.254093
522,-0.300526,0.263157
523,-0.300526,0.263157
524,-0.299261,0.258486
525,-0.300642,0.259638
526,-0.29425,0.248226
527,-0.314718,0.260395
528,-0.322094,0.267121
529,-0.302453,0.257856
530,-0.314618,0.265184
531,-0.31561,0.274068
532,-0.316781,0.279112
533,-0.315942,0.282242
534,-0.313392,0.281344
535,-0.294183,0.26576
536,-0.303761,0.259832
537,-0.304976,0.257192
538,-0.30266,0.259858
539,-0.287625,0.249311
540,-0.302648,0.254849
541,-0.296263,0.244182
542,-0.290484,0.24849
543,-0.288052,0.246104
544,-0.286376,0.243168
545,-0.286376,0.243168
546,-0.280823,0.245207
547,-0.292517,0.257921
548,-0.278849,0.249557
549,-0.278412,0.245714
550,-0.281714,0.24874
551,-0.281714,0.24874
552,-0.283512,0.252391
553,-0.285757,0.256091
554,-0.283437,0.259744
555,-0.290017,0.257351
556,-0.293464,0.263821
557,-0.285788,0.261981
558,-0.28554,0.257855
559,-0.28498,0.262425
560,-0.282527,0.265243
561,-0.288899,0.264918
562,-0.291011,0.252749
563,-0.289939,0.253918
564,-0.290831,0.255547
565,-0.293445,0.262193
566,-0.302484,0.275336
567,-0.305156,0.266693
568,-0.303025,0.272924
569,-0.317334,0.27581
570,-0.314637,0.281114
571,-0.305597,0.2757
572,-0.297867,0.274115
573,-0.303196,0.279891
574,-0.303196,0.279891
575,-0.299145,0.276464
576,-0.30307,0.275375
577,-0.304459,0.277312
578,-0.298689,0.26816
579,-0.290466,0.253407
580,-0.285423,0.253519
581,-0.278103,0.250247
582,-0.290992,0.257718
583,-0.283921,0.253584
584,-0.281709,0.249818
585,-0.304869,0.260589
586,-0.297784,0.262804
587,-0.304289,0.256999
588,-0.283846,0.248265
589,-0.286687,0.245017
590,-0.291944,0.245621
591,-0.283918,0.249458
592,-0.287601,0.251073
593,-0.287971,0.254518
594,-0.281489,0.245248
595,-0.275644,0.246699
596,-0.273276,0.245329
597,-0.278227,0.241643
598,-0.276983,0.241315
599,-0.281196,0.242285
600,-0.286547,0.242094
601,-0.278378,0.24559
602,-0.274892,0.237639
603,-0.287624,0.246374
604,-0.287759,0.246182
605,-0.282879,0.24417
606,-0.286338,0.247521
607,-0.289863,0.247527
608,-0.282443,0.241921
609,-0.283907,0.245839
610,-0.293159,0.249858
611,-0.282563,0.241413
612,-0.285511,0.244768
613,-0.299042,0.25215
614,-0.292742,0.251893
615,-0.299504,0.25314
616,-0.293417,0.251075
617,-0.286244,0.245305
618,-0.296787,0.251564
619,-0.292158,0.253781
620,-0.312001,0.259896
621,-0.332539,0.273251
622,-0.309938,0.264606
623,-0.304303,0.260301
624,-0.318174,0.270916
625,-0.298151,0.253595
626,-0.292311,0.258181
627,-0.292311,0.258181
628,-0.292139,0.2633
629,-0.285658,0.258508
630,-0.279242,0.248232
631,-0.269711,0.242773
632,-0.275779,0.241875
633,-0.274938,0.244967
634,-0.279643,0.246071
635,-0.278747,0.237428
636,-0.276036,0.23896
637,-0.276036,0.23896
638,-0.277986,0.237911
639,-0.275742,0.235525
640,-0.282817,0.238633
641,-0.271577,0.239677
642,-0.271577,0.239677
643,-0.271577,0.239677
644,-0.273058,0.237138
645,-0.28652,0.2457
646,-0.282584,0.247277
647,-0.296218,0.258942
648,-0.313038,0.266968
649,-0.318724,0.269789
650,-0.324836,0.273776
651,-0.326471,0.276144
652,-0.338162,0.280103
653,-0.339557,0.287015
654,-0.357379,0.286804
655,-0.343335,0.281981
656,-0.344502,0.283869
657,-0.346984,0.279446
658,-0.347711,0.287516
659,-0.344545,0.290049
660,-0.344545,0.290049
661,-0.350303,0.291384
662,-0.340783,0.292349
663,-0.340946,0.28199
664,-0.318135,0.275791
665,-0.309484,0.273194
666,-0.304293,0.264865
667,-0.305088,0.263167
668,-0.305088,0.263167
669,-0.316871,0.270623
670,-0.304978,0.26532
671,-0.303896,0.263502
672,-0.295565,0.259461
673,-0.288234,0.253337
674,-0.290807,0.251634
675,-0.299254,0.256048
676,-0.299622,0.256934
677,-0.291566,0.251488
678,-0.290147,0.251737
679,-0.281121,0.244425
680,-0.281658,0.246807
681,-0.281043,0.255019
682,-0.285374,0.25123
683,-0.274449,0.245892
684,-0.286245,0.247195
685,-0.286245,0.247195
686,-0.286394,0.245133
687,-0.292492,0.241441
688,-0.274329,0.236738
689,-0.27422,0.23786
690,-0.277383,0.23941
691,-0.267861,0.232039
692,-0.267861,0.232039
693,-0.269946,0.233426
694,-0.269952,0.234126
695,-0.278427,0.242555
696,-0.276318,0.234877
697,-0.286356,0.243585
698,-0.286541,0.251573
699,-0.296949,0.254181
700,-0.292948,0.251929
701,-0.27904,0.24417
702,-0.288573,0.249529
703,-0.285926,0.254236
704,-0.294241,0.250244
705,-0.294672,0.254652
706,-0.29608,0.257457
707,-0.286978,0.251372
708,-0.280788,0.241957
709,-0.284046,0.249752
710,-0.285938,0.247819
711,-0.279444,0.249067
712,-0.284713,0.254217
713,-0.283338,0.252195
714,-0.288709,0.253848
715,-0.292238,0.2578
716,-0.298057,0.258901
717,-0.285908,0.25531
718,-0.285908,0.25531
719,-0.291003,0.258292
720,-0.289564,0.253722
721,-0.289883,0.248323
722,-0.280188,0.249646
723,-0.287127,0.251449
724,-0.287127,0.251449
725,-0.279166,0.254898
726,-0.27915,0.252198
727,-0.280456,0.248502
728,-0.28233,0.252113
729,-0.283931,0.256281
730,-0.284035,0.258983
731,-0.287021,0.259594
732,-0.292036,0.260199
733,-0.288676,0.261912
734,-0.288999,0.261711
735,-0.279923,0.247952
736,-0.273014,0.236283
737,-0.26816,0.233206
738,-0.27442,0.240078
739,-0.267798,0.23604
740,-0.261886,0.231677
741,-0.271268,0.235299
742,-0.268615,0.23012
743,-0.266233,0.235369
744,-0.266233,0.235369
745,-0.269393,0.236865
746,-0.268333,0.233711
747,-0.269753,0.239586
748,-0.26975,0.23695
749,-0.267804,0.241318
750,-0.266541,0.242536
751,-0.283567,0.243943
752,-0.283291,0.237478
753,-0.286122,0.238813
754,-0.283649,0.238824
755,-0.280711,0.239481
756,-0.279282,0.233769
757,-0.274111,0.238216
758,-0.276521,0.24217
759,-0.281656,0.243711
760,-0.279714,0.244073
761,-0.27946,0.241926
762,-0.270743,0.234653
763,-0.271981,0.228298
764,-0.27777,0.226671
765,-0.275791,0.227227
766,-0.279161,0.227436
767,-0.274055,0.228228
768,-0.271376,0.227089
769,-0.274734,0.227584
770,-0.278924,0.237176
771,-0.287342,0.240366
772,-0.278665,0.230867
773,-0.273385,0.230344
774,-0.273385,0.230344
775,-0.279578,0.235671
776,-0.266999,0.231624
777,-0.271359,0.235816
778,-0.272939,0.236482
779,-0.272244,0.240663
780,-0.285554,0.246931
781,-0.279869,0.242094
782,-0.285046,0.243706
783,-0.288264,0.249127
784,-0.274667,0.241106
785,-0.277356,0.241952
786,-0.283543,0.246057
787,-0.281946,0.24389
788,-0.283855,0.246282
789,-0.274747,0.237992
790,-0.291182,0.249931
791,-0.285666,0.250799
792,-0.288335,0.247494
793,-0.285119,0.25114
794,-0.280582,0.248233
795,-0.29067,0.260629
796,-0.288129,0.253237
797,-0.283452,0.252687
798,-0.296525,0.259286
799,-0.296961,0.261791
800,-0.287377,0.257247
801,-0.290696,0.256489
802,-0.285844,0.253245
803,-0.305351,0.261535
804,-0.308506,0.25911
805,-0.313398,0.25956
806,-0.315982,0.265524
807,-0.323222,0.268613
808,-0.323053,0.267222
809,-0.328397,0.271032
810,-0.317641,0.262272
811,-0.322805,0.270391
812,-0.318063,0.275113
813,-0.323193,0.277734
814,-0.325131,0.288163
815,-0.343278,0.291402
816,-0.358084,0.293931
817,-0.36324,0.289065
818,-0.352929,0.287376
819,-0.332563,0.288943
820,-0.321332,0.277774
821,-0.311746,0.279126
822,-0.313818,0.281634
823,-0.326095,0.277775
824,-0.313324,0.274863
825,-0.310194,0.274608
826,-0.304034,0.263397
827,-0.309091,0.264619
828,-0.314804,0.263449
829,-0.329222,0.266626
830,-0.32488,0.261265
831,-0.318273,0.262531
832,-0.323139,0.276115
833,-0.311395,0.271699
834,-0.311395,0.271699
835,-0.325613,0.280446
836,-0.325613,0.280446
837,-0.327464,0.273868
838,-0.329386,0.283079
839,-0.310033,0.268303
840,-0.321128,0.275725
841,-0.332479,0.274552
842,-0.332792,0.278335
843,-0.317113,0.273592
844,-0.311981,0.280339
845,-0.324325,0.2826
846,-0.344521,0.281056
847,-0.353363,0.278913
848,-0.344835,0.276003
849,-0.344835,0.276003
850,-0.335575,0.275917
851,-0.331643,0.27309
852,-0.327464,0.267481
853,-0.330573,0.273251
854,-0.320708,0.279506
855,-0.337475,0.280763
856,-0.324311,0.271826
857,-0.330421,0.27623
858,-0.322354,0.27093
859,-0.336937,0.282962
860,-0.349512,0.289277
861,-0.327496,0.278663
862,-0.316042,0.276067
863,-0.314088,0.26703
864,-0.320615,0.277262
865,-0.299928,0.270744
866,-0.316464,0.284907
867,-0.317408,0.289794
868,-0.319368,0.287223
869,-0.313003,0.275021
870,-0.305416,0.267988
871,-0.301691,0.267242
872,-0.29491,0.262451
873,-0.312841,0.271057
874,-0.300107,0.263522
875,-0.291405,0.259935
876,-0.3029,0.264884
877,-0.300803,0.256744
878,-0.293089,0.256342
879,-0.293089,0.256342
880,-0.299914,0.26559
881,-0.293878,0.265058
882,-0.303323,0.271108
883,-0.302811,0.265696
884,-0.302811,0.265696
885,-0.308767,0.268284
886,-0.300744,0.256889
887,-0.299787,0.261883
888,-0.291494,0.25496
889,-0.301532,0.266299
890,-0.306745,0.269944
891,-0.306745,0.269944
892,-0.310506,0.267316
893,-0.310582,0.262489
894,-0.303517,0.260974
895,-0.306593,0.257999
896,-0.306852,0.250139
897,-0.318347,0.255805
898,-0.315431,0.259393
899,-0.301048,0.257807
900,-0.318102,0.257081
901,-0.318102,0.257081
902,-0.335442,0.265207
903,-0.336727,0.263124
904,-0.341129,0.265411
905,-0.334816,0.26448
906,-0.334816,0.26448
907,-0.336389,0.267019
908,-0.325172,0.265744
909,-0.318062,0.259067
910,-0.318059,0.260274
911,-0.316405,0.257548
912,-0.308104,0.251325
913,-0.316424,0.259915
914,-0.331823,0.260128
915,-0.317748,0.254515
916,-0.31899,0.252176
917,-0.33969,0.261528
918,-0.319173,0.256431
919,-0.333612,0.25796
920,-0.320479,0.253685
921,-0.323425,0.258166
922,-0.330001,0.259756
923,-0.315655,0.250879
924,-0.316425,0.252582
925,-0.313665,0.250507
926,-0.313597,0.253773
927,-0.313597,0.253773
928,-0.308167,0.25415
929,-0.312728,0.25545
930,-0.315768,0.253243
931,-0.32409,0.25352
932,-0.309867,0.251874
933,-0.309867,0.251874
934,-0.313014,0.25017
935,-0.304199,0.253026
936,-0.300297,0.254699
937,-0.312355,0.254647
938,-0.304419,0.259241
939,-0.295635,0.250604
940,-0.295635,0.250604
941,-0.303255,0.254535
942,-0.292437,0.248716
943,-0.292876,0.251144
