MDTU,S_F
457,1.00166
458,1.00235
459,0.995751
460,1.00547
461,1.00574
462,1.00425
463,0.993916
464,0.995449
465,1.00728
466,1.00711
467,0.998073
468,1.0009
469,0.991657
470,0.996307
471,0.994872
472,1.00827
473,1.00897
474,0.996286
475,0.994722
476,0.99716
477,0.994349
478,0.996035
479,0.99694
480,1.00012
481,0.99544
482,0.99917
483,0.997476
484,1.00657
485,0.986161
486,1.0067
487,1.00873
488,0.994171
489,0.996303
490,0.991003
491,1.00026
492,0.99143
493,1.00236
494,0.994697
495,0.998918
496,1.00126
497,1.00811
498,1.00728
499,1.0065
500,0.997879
501,1.00278
502,1.01068
503,1.00039
504,0.994395
505,1.00145
506,0.996973
507,1.00148
508,1.00513
509,0.995762
510,0.993226
511,1.00483
512,1.00612
513,1.00698
514,1.00118
515,1.00773
516,0.999086
517,1.00115
518,0.998764
519,0.999831
520,0.997665
521,0.998838
522,0.99943
523,1.00633
524,0.992124
525,0.995435
526,1.00161
527,1.00495
528,0.99856
529,0.998683
530,1.00417
531,0.994492
532,0.999812
533,1.00132
534,1.0011
535,1.00071
536,0.998567
537,0.993377
538,0.999816
539,0.998826
540,1.00425
541,1.00339
542,1.00447
543,1.0001
544,0.998315
545,0.99448
546,0.999552
547,1.0049
548,0.995686
549,1.00027
550,1.00768
551,0.991601
552,0.999171
553,0.99868
554,1.0024
555,0.999509
556,1.00432
557,1.00427
558,1.00846
559,0.98782
560,1.00178
561,1.00255
562,1.00224
563,1.0061
564,1.00432
565,0.995585
566,0.990478
567,1.00842
568,1.00368
569,1.00318
570,1.00135
571,0.995828
572,0.991033
573,1.00172
574,1.00621
575,0.995644
576,0.999948
577,0.991219
578,0.990736
579,0.994496
580,1.00498
581,1.00186
582,0.985956
583,0.992233
584,0.994994
585,0.996812
586,0.996217
587,1.00526
588,1.01369
589,0.998609
590,1.001
591,0.994268
592,1.00166
593,0.998344
594,0.995906
595,1.00587
596,1.00044
597,0.992751
598,0.996528
599,0.990638
600,0.994947
601,0.998925
602,1.0004
603,0.998611
604,1.00831
605,1.00112
606,0.993229
607,1.01792
608,0.993731
609,0.991145
610,0.99371
611,1.00014
612,0.995778
613,0.99948
614,0.991781
615,0.99037
616,0.993386
617,1.00412
618,1.00535
619,0.99935
620,1.00539
621,1.00936
622,1.00779
623,0.98843
624,1.00532
625,0.997517
626,0.999232
627,0.997249
628,1.00216
629,0.992285
630,0.997466
631,0.995787
632,1.00585
633,0.994115
634,1.00256
635,0.995363
636,1.00726
637,1.00712
638,0.990161
639,0.999999
640,1.00737
641,0.993225
642,0.995101
643,1.00366
644,1.01004
645,0.997948
646,1.00379
647,1.00061
648,0.993035
649,0.991264
650,0.998395
651,1.0008
652,0.986408
653,1.00376
654,0.993452
655,1.00328
656,1.01072
657,0.996246
658,0.998578
659,0.998782
660,1.00369
661,0.997777
662,1.0024
663,1.01028
664,0.994224
665,0.993634
666,1.00277
667,1.01013
668,0.997296
669,0.996215
670,1.00016
671,1.00496
672,1.00289
673,0.994969
674,1.00208
675,1.0096
676,1.00552
677,1.00245
678,1.00523
679,1.00077
680,0.999674
681,0.99637
682,0.990747
683,0.996498
684,0.989777
685,0.994022
686,1.00628
687,0.997116
688,0.992252
689,0.994968
690,1.00019
691,0.996524
692,0.999176
693,0.997954
694,0.999607
695,1.00161
696,1.00978
697,0.993156
698,0.991171
699,0.998853
700,0.997648
701,1.00034
702,0.996495
703,0.987965
704,0.994357
705,1.00253
706,1.00718
707,1.00437
708,0.996502
709,0.999296
710,0.993587
711,0.999491
712,0.991834
713,1.00018
714,1.00507
715,0.995312
