MDTU,susyTrans,Im(bilin)
2080,-0.062171,0.000926651
2090,0.0101676,0.00344544
2100,-0.0274285,-0.0142547
2110,-0.262423,0.00586011
2120,-0.0350105,0.0109086
2130,0.140408,0.00432806
2140,-0.134353,-0.000572574
2150,0.0621859,-0.0118381
2160,0.142761,-0.00490863
2170,0.0665287,-0.00311987
2180,0.0495864,-0.00596632
2190,0.014851,0.00868077
2200,0.00891666,-0.000869863
2210,-0.104222,-0.00347696
2220,-0.0106566,0.00407231
2230,-0.09196,0.011843
2240,-0.10543,0.00622213
2250,0.0245587,-0.0105995
2260,0.0435652,0.0022938
2270,-0.038348,-0.00202643
2280,-0.0711471,0.00608072
2290,0.010254,-0.0101766
2300,-0.122233,0.000107488
2310,-0.0998694,-0.00658018
2320,-0.110026,0.00993524
2330,-0.165794,-0.00660431
2340,0.00530704,0.0148999
2350,0.01021,0.0128348
2360,-0.00270858,-0.00907257
2370,-0.136147,0.00479442
2380,-0.0164342,-0.00032864
2390,0.0486523,0.00205199
2400,0.0233606,0.000352438
2410,-0.0312243,-0.00263099
2420,-0.0435909,0.0110908
2430,0.0599943,-0.00529494
2440,-0.230493,0.00577937
2450,0.0786289,0.00100717
2460,0.0673803,0.00522129
2470,0.0976805,-0.00746254
2480,-0.103209,0.00319602
2490,0.0259967,0.000162095
2500,-0.156249,-0.00625552
2510,-0.0251459,-0.00788187
2520,0.0180608,0.00869166
2530,-0.0408414,2.29985e-05
2540,0.0593192,0.00491546
2550,-0.365134,0.00138094
2560,0.0313445,-0.00932579
2570,0.0848318,0.00131744
2580,-0.0965724,-0.00786673
2590,-0.102394,0.00291738
2600,-0.131267,0.00473687
2610,0.0121466,0.00303224
2620,0.0108763,-0.0132224
2630,-0.0969169,0.00715881
2640,-0.0948259,0.000665745
2650,0.0713952,-0.017065
2660,-0.082398,-0.00616375
2670,0.0505241,0.00834935
2680,0.0285965,0.00794191
2690,0.00280693,0.00127996
2700,0.0336435,0.0029598
2710,0.0501625,0.00729642
2720,0.109045,0.0017564
2730,0.145707,0.0103687
2740,-0.00719351,-0.00261722
2750,0.0131687,-0.00363331
2760,0.0476323,-0.00731112
2770,-0.0936037,0.00303586
2780,0.139546,-0.0182832
2790,0.0949684,0.000630562
2800,-0.0670052,-0.0057085
2810,0.0192333,0.00139565
2820,0.0917834,0.00882283
2830,-0.205578,0.00110712
2840,-0.0608137,0.00539224
2850,0.0757738,0.00093303
2860,-0.0824695,-0.000213553
2870,-0.0629338,-0.00102265
2880,0.0794805,-0.00521348
2890,0.0693398,0.00482389
2900,0.0167548,-0.00369262
2910,-0.0619953,0.00456748
2920,0.0315412,-0.000990552
2930,-0.109314,0.00218326
2940,0.0142533,-0.00998323
2950,0.154269,0.00532641
2960,0.136264,-0.000113759
2970,0.0786899,0.00219431
2980,-0.140141,-0.00289234
2990,0.0625099,0.00407067
3000,0.00803867,-0.00323872
3010,-0.0973901,0.0129957
3020,-0.0103282,-0.00758213
3030,0.0212012,0.00153131
3040,-0.152564,-0.00870827
3050,0.0871107,0.00244492
3060,0.027122,0.00218695
3070,-0.212282,-0.00269939
3080,-0.118658,0.000938963
3090,-0.129783,0.00238818
3100,-0.0558333,0.00664616
3110,-0.12593,0.0150124
3120,-0.222439,-0.00139555
3130,-0.132184,-0.0115322
3140,0.161558,-0.000108441
3150,-0.0567399,-0.000681569
3160,-0.0615233,0.000909719
3170,-0.0309645,-0.00668095
3180,-0.1428,0.0048924
3190,-0.139877,-0.00401817
3200,-0.111923,0.00474315
3210,-0.0598918,0.00714986
3220,-0.0696688,-0.00395252
3230,0.0151757,0.00998151
3240,0.0355781,-0.0125758
3250,-0.0467822,-0.00728536
3260,0.0601488,-0.00509844
3270,0.0173044,-0.00439063
3280,0.0191838,-0.00185975
3290,-0.10709,0.00506034
3300,-0.0543976,0.00409669
3310,-0.0708695,-0.00627894
3320,0.0652851,0.00923603
3330,0.0370173,0.0056301
3340,-0.0219704,0.0066127
3350,-0.0420765,-0.0107375
3360,0.0595288,-0.00569149
3370,-0.0553311,-0.00224594
3380,-0.0143004,0.0122573
3390,0.0702303,-0.0129669
3400,-0.0374038,-0.00594518
3410,-0.017956,-0.00512985
3420,-0.0714508,-0.000154671
3430,-0.164519,-0.00307968
3440,0.158565,0.0107088
3450,0.0361631,5.96991e-05
3460,0.0929268,-0.00662325
3470,0.00928577,-0.00274541
3480,0.0038178,0.0135111
3490,-0.12043,0.00363214
3500,-0.155327,0.00413147
3510,0.0974492,-0.0161035
3520,-0.0529704,-0.0109995
3530,0.0114603,-0.00733563
3540,0.0194775,0.00654237
3550,0.0386395,0.00570827
3560,-0.0607034,-0.0121098
3570,0.103591,0.00132525
3580,0.00727949,0.00336001
3590,-0.0195243,0.012174
3600,0.0150476,-0.000227476
3610,-0.159357,-0.00584987
3620,-0.0373852,-0.0129247
3630,-0.0590638,0.00379908
3640,0.0782199,-0.00832853
3650,0.0296751,0.00256076
3660,0.0181555,0.00778677
3670,-0.0494558,0.00819288
3680,-0.0496719,0.00970229
3690,0.00667166,-0.00136632
3700,0.0178144,-0.0012791
3710,0.00948986,-0.00129847
3720,-0.129199,-0.00152997
3730,-0.0497663,0.00653375
3740,0.0590736,0.00459774
3750,-0.0860282,-0.00935517
3760,0.0879245,-0.00654965
3770,0.0116573,-0.00453111
3780,0.0202108,-0.00705024
3790,-0.0312423,-0.0150602
3800,-0.0915427,0.00685665
3810,-0.0396651,0.010041
3820,-0.173034,0.00590877
3830,0.0396378,0.00340592
3840,0.0860524,0.00245074
3850,-0.126807,0.00668875
3860,-0.01284,-0.00978384
3870,-0.213966,-0.000536984
3880,-0.1598,-0.0107556
3890,-0.173375,-0.00720186
3900,-0.0572193,-0.00569368
3910,-0.112279,0.00413508
3920,-0.0233951,0.00591837
3930,-0.0449895,0.00135444
3940,0.00679078,0.0049141
3950,0.0530755,0.0014468
3960,-0.0573464,-0.000225762
3970,0.0432612,-0.00413357
3980,-0.161321,0.000562628
3990,-0.0175711,-0.00407675
4000,0.10366,0.0111752
4010,0.0306152,-0.00502451
