MDTU,|det-1|^2,1-Re(det),Im(det)
168,0.44483,0.010935,-8.53587e-05
169,0.402797,0.008813,-0.00136096
170,0.425975,0.004518,0.00981837
171,0.391561,-0.02066,0.000447138
172,0.462573,0.014124,0.00278242
173,0.492223,0.008277,-0.0022617
174,0.465937,0.034069,-0.00534873
175,0.472098,0.03351,0.00111052
176,0.463299,0.042607,-0.00240278
177,0.471823,0.043997,0.00562678
178,0.463137,0.030254,0.00264464
179,0.434319,0.025924,-0.000250439
180,0.418585,0.015663,0.000694328
181,0.450885,-0.01339,0.00657654
182,0.441902,-0.01639,0.00113038
183,0.459547,-0.01251,0.00234952
184,0.409737,-0.00745,0.00263366
185,0.442168,-0.01425,-0.00126494
186,0.397775,-0.00151,-0.00169323
187,0.428262,-0.01601,-0.00324691
188,0.40214,-0.01848,-0.00249263
189,0.459503,-0.00805,-0.00368085
190,0.437694,-0.00672,-0.00208391
191,0.420938,0.00538,0.000397261
192,0.406723,-0.00964,0.00535812
193,0.436139,-0.00852,0.00159992
194,0.406841,0.006691,-0.00367704
195,0.389137,-0.00179,-0.00482251
196,0.411598,-0.01085,0.00405368
197,0.352746,0.019175,-0.000510305
198,0.387054,0.018981,-0.00204783
199,0.41521,-0.0006,0.00553862
200,0.491793,0.024531,-0.00400593
201,0.419052,0.035853,0.00570665
202,0.413595,0.03566,0.00250409
203,0.422465,0.033292,0.00254616
204,0.373733,0.020659,0.00108017
205,0.428475,0.023693,-0.00664606
206,0.420009,0.026173,-0.00122165
207,0.371277,0.036054,-0.0045863
208,0.420611,0.052726,0.000799601
209,0.399166,0.052315,0.00059264
210,0.451992,0.01662,-0.00524932
211,0.419656,0.018092,0.00320515
212,0.42416,0.015124,0.000751338
213,0.477678,0.007058,-0.00538142
214,0.465198,0.026571,0.00126726
215,0.432596,0.03292,0.00338561
216,0.404993,0.039519,-0.00226791
217,0.380787,0.050716,-0.00280894
218,0.432848,0.037389,0.000225555
219,0.435139,0.024706,-0.000437312
220,0.372788,0.024308,-0.00367491
221,0.421519,0.009304,0.00117219
222,0.416062,0.01046,-0.00142751
223,0.377511,-0.00806,0.00871286
224,0.396223,0.020294,-0.00142458
225,0.391575,0.018071,-0.00378656
226,0.416344,0.023551,-0.00503509
227,0.413089,0.041317,0.00101006
228,0.467019,0.042858,0.00794907
229,0.371878,0.049562,0.00776651
230,0.420985,0.031519,-0.00564598
231,0.393122,0.02523,0.0073555
232,0.420358,0.0131,-0.0014294
233,0.416657,0.007052,-0.00234852
234,0.459175,0.003431,-0.0017308
235,0.376781,0.030421,0.00259042
236,0.383045,0.021644,0.00259065
237,0.383045,0.021644,0.00259065
