MDTU,|Tr(L)|,ReTr(L),ImTr(L)
176,1.84425,1.68729,-0.744512
177,2.01799,1.68245,-1.11429
178,1.67413,1.49346,-0.756487
179,1.7446,1.30573,-1.15702
180,1.80255,1.18046,-1.36224
181,2.05708,1.31477,-1.58208
182,1.27476,0.768687,-1.01692
183,0.952933,0.698371,-0.648351
184,0.848633,0.386231,-0.755648
185,1.07852,0.509711,-0.950478
186,0.947662,0.5984,-0.734834
187,1.33017,0.705171,-1.12787
188,0.899091,0.366799,-0.820868
189,1.06138,0.485556,-0.943804
190,1.11602,0.753356,-0.823383
191,1.01233,0.562301,-0.841796
192,1.12061,0.380404,-1.05407
193,1.24628,0.323145,-1.20366
194,0.923033,0.058779,-0.92116
195,0.825381,0.121787,-0.816346
196,1.19401,0.0363881,-1.19345
197,1.12903,0.166862,-1.11663
198,0.985625,0.216938,-0.961455
199,1.25893,0.00869081,-1.2589
200,1.09119,0.281959,-1.05413
201,1.08855,0.431234,-0.999489
202,0.851254,0.28245,-0.803029
203,0.890792,0.503151,-0.735084
204,0.972783,0.405027,-0.884454
205,1.23779,0.49994,-1.13234
206,1.537,0.263495,-1.51424
207,1.53145,0.744486,-1.33831
208,1.31453,0.790548,-1.05024
209,1.25588,0.961644,-0.807762
210,0.991624,0.84841,-0.513341
211,1.15375,0.869751,-0.758077
212,1.13158,0.935255,-0.637001
213,1.35075,1.05102,-0.848452
214,1.275,0.943706,-0.857341
215,1.04072,0.71168,-0.759342
216,1.01513,0.448519,-0.910675
217,1.19943,0.559561,-1.0609
218,1.31242,0.582185,-1.17622
219,1.25686,0.540017,-1.13493
220,1.3093,0.835982,-1.00767
221,1.55768,1.05379,-1.14713
222,1.46179,1.03301,-1.03428
223,1.48742,1.05034,-1.05318
224,1.34634,0.921871,-0.981214
225,1.52819,0.968898,-1.18177
226,1.42175,0.773014,-1.19324
227,1.35106,0.561826,-1.2287
228,1.64961,1.03879,-1.28145
229,1.50882,0.832582,-1.25831
230,1.57272,0.917389,-1.27744
231,1.59857,0.811289,-1.3774
232,1.58706,1.03487,-1.20324
233,1.49527,0.700503,-1.32104
234,1.39512,0.815535,-1.13193
235,1.36917,0.853772,-1.07037
236,1.58029,0.945407,-1.2663
237,1.58029,0.945407,-1.2663
238,1.78311,1.10703,-1.39784
239,1.78311,1.10703,-1.39784
240,1.94896,1.19449,-1.54001
241,1.94896,1.19449,-1.54001
242,1.55243,0.701687,-1.38481
243,1.49874,0.839907,-1.24128
244,1.26135,0.832793,-0.947346
245,1.59226,1.26934,-0.961294
246,1.8451,1.3359,-1.2727
247,2.26997,1.35923,-1.81804
248,2.32947,1.76775,-1.51706
249,1.93093,1.69655,-0.922074
250,2.53916,2.45738,-0.639208
251,2.58945,2.55666,-0.410763
252,2.55378,2.37178,-0.946815
253,2.41953,2.20837,-0.988557
254,2.132,2.04347,-0.607995
255,1.80104,1.724,-0.521116
256,1.99284,1.58789,-1.20416
257,2.14814,1.72389,-1.28168
258,2.4204,1.62432,-1.79441
259,2.71354,1.58668,-2.2013
260,2.48064,1.482,-1.98928
261,2.51657,1.77752,-1.78144
262,2.35089,2.02177,-1.19964
263,2.85881,2.54724,-1.29783
264,3.10396,2.92829,-1.02939
265,3.96165,3.82994,-1.01302
266,3.76423,3.75239,-0.298275
267,3.8289,3.72675,-0.878518
268,3.87801,3.85381,-0.432571
269,3.81214,3.57535,-1.32262
270,3.81214,3.57535,-1.32262
271,3.81214,3.57535,-1.32262
272,4.39912,4.29388,-0.95647
273,3.6042,3.16171,-1.73027
274,2.7299,2.63255,-0.722523
275,2.00866,1.9137,-0.61028
276,2.02838,1.95549,-0.538871
277,2.43706,2.41434,-0.332014
278,2.15019,2.14887,-0.0754187
279,2.46633,2.37907,-0.650255
280,2.46633,2.37907,-0.650255
281,2.04079,2.01876,-0.299098
282,1.77033,1.68206,-0.552036
283,1.6257,1.62516,-0.0419214
284,1.98259,1.83375,0.75368
285,1.73677,1.60345,0.667317
286,1.73677,1.60345,0.667317
287,1.53047,1.52598,0.117134
288,1.68688,1.68674,-0.0218456
289,1.35805,1.34295,-0.202014
290,1.26322,1.13122,-0.562178
291,1.71696,1.45487,-0.911767
292,1.85161,1.49339,-1.09465
293,1.96269,1.43795,-1.33584
294,1.80832,1.45678,-1.07137
295,2.05074,1.43733,-1.46274
296,1.77982,1.39756,-1.10208
297,1.78762,1.46798,-1.02011
298,1.78762,1.46798,-1.02011
299,1.78762,1.46798,-1.02011
300,2.07253,1.72946,-1.14208
301,1.73293,1.65647,-0.509098
302,1.96987,1.93637,-0.361724
303,2.00369,1.97832,-0.317864
304,2.1852,2.18504,-0.0263999
305,2.0562,2.0562,-0.00191081
306,2.15477,2.14619,-0.192103
307,1.99744,1.90672,0.595134
308,1.93858,1.71407,0.905573
309,2.0778,1.77549,1.0793
310,1.87414,1.54356,1.06293
311,1.64117,1.25681,1.0554
312,1.56649,0.991708,1.2126
313,1.29938,0.646698,1.12702
314,1.29938,0.646698,1.12702
315,1.4811,0.895747,1.17954
316,1.21208,0.32206,1.16851
317,1.38488,0.286335,1.35496
318,0.976733,0.132231,0.967741
319,0.767353,-0.546832,0.538337
320,0.784638,-0.433943,0.653721
321,0.809836,-0.151851,0.795472
322,0.88315,-0.574385,0.670847
323,0.918872,-0.29359,0.870707
324,0.668134,-0.23621,0.624986
325,0.632206,-0.115021,0.621654
326,0.910261,0.369708,0.8318
327,1.1454,0.42182,1.0649
328,0.896774,0.259218,0.858492
329,0.854637,0.635294,0.571668
330,0.539971,0.373341,0.390109
331,0.658321,0.65532,0.062788
332,0.34268,0.0499203,0.339025
333,0.281346,0.273646,0.0653727
334,0.357235,-0.153937,0.322367
335,0.217893,-0.167163,0.139764
336,0.276309,-0.162814,0.223245
337,0.499598,0.192349,0.461086
338,0.353253,0.194368,0.294972
339,0.274258,0.0399661,0.271331
340,0.514233,0.197804,0.474667
341,0.729152,0.385484,0.618923
342,1.30724,1.1245,0.666622
343,1.46643,0.953616,1.11401
344,1.18543,0.711052,0.948496
345,1.4099,0.85455,1.12141
346,1.16111,0.820261,0.821792
347,1.16111,0.820261,0.821792
348,1.16111,0.820261,0.821792
349,1.10697,0.733162,0.829371
350,1.45295,1.41431,0.332812
351,1.21961,1.21242,0.13222
352,1.20982,1.17568,0.28536
353,1.08479,0.998989,0.422849
354,1.20897,1.20132,0.135776
355,1.38883,1.38016,0.154934
356,1.30369,1.30094,-0.0845341
357,1.30369,1.30094,-0.0845341
358,1.38139,1.35002,-0.292714
359,1.25781,1.25776,0.0112316
360,1.14123,1.12631,-0.183886
361,0.982204,0.97255,-0.137369
362,1.23378,1.14533,-0.458722
363,1.55324,1.28221,-0.876629
364,1.6452,1.38918,-0.881397
365,1.84029,1.60454,-0.90119
366,1.75805,1.6309,-0.656454
367,1.86029,1.71634,-0.717544
368,1.86029,1.71634,-0.717544
369,1.98433,1.8432,-0.734961
370,1.58378,1.35261,-0.823893
371,1.45379,1.17744,-0.852723
372,1.61562,1.3742,-0.849585
373,1.38905,1.24516,-0.61566
374,1.59411,1.21829,-1.02809
375,1.72578,1.43914,-0.95247
376,1.65958,1.28686,-1.04795
377,1.51363,1.2482,-0.856186
378,1.24774,1.05164,-0.671503
379,1.14701,0.903853,-0.706175
380,1.20938,1.04804,-0.603508
381,1.20938,1.04804,-0.603508
382,1.21197,1.15394,-0.370513
383,0.759333,0.599833,-0.465604
384,1.07321,0.675863,-0.833657
385,0.772727,0.654635,-0.41056
386,0.92615,0.673175,-0.636073
387,0.795146,0.461317,-0.647645
388,0.795146,0.461317,-0.647645
389,0.630422,0.376054,-0.50598
390,0.579647,0.187531,-0.548473
391,0.443888,0.27553,-0.348023
392,0.566729,0.38417,-0.416647
393,0.586642,0.465404,-0.357137
394,0.541631,0.517182,-0.160894
395,0.713756,0.687019,-0.193526
396,0.889481,0.817175,-0.351283
397,1.00143,0.953004,-0.307641
398,0.880607,0.870021,-0.136136
399,1.01889,0.970541,-0.31015
400,1.03838,0.994446,-0.298841
401,1.07259,1.06047,-0.160846
402,0.854297,0.854285,-0.00451916
403,0.97227,0.945797,-0.225338
404,1.18845,1.1534,-0.286482
405,1.18845,1.1534,-0.286482
406,1.24437,1.22217,-0.233991
407,1.2373,1.22381,-0.182186
408,0.709844,0.668674,-0.23823
409,0.709844,0.668674,-0.23823
410,0.739947,0.685226,-0.279263
411,0.810034,0.77486,-0.236108
412,0.88726,0.785453,-0.412667
413,1.01717,0.834855,-0.581077
414,0.848875,0.708489,-0.467581
415,0.983105,0.756357,-0.628028
416,0.850787,0.564329,-0.636688
417,0.848024,0.354811,-0.77023
418,1.02769,0.707211,-0.745655
419,0.988171,0.669958,-0.726387
420,1.01698,0.788214,-0.642627
421,1.00429,0.771739,-0.64267
422,1.04552,0.645545,-0.822431
423,1.13946,0.616831,-0.958067
424,1.4335,0.916853,-1.10195
425,1.37295,0.845118,-1.08202
426,1.27091,0.826544,-0.96542
427,0.866052,0.512613,-0.69805
428,1.07228,0.710221,-0.803354
429,1.16338,0.604854,-0.993789
430,1.21104,0.779512,-0.926816
