MDTU,plaq,Re(det),Im(det),link
145,1.4897,0.541115,0.235218,0.148006
146,1.5033,0.541985,0.232555,0.155372
147,1.49693,0.539364,0.227072,0.149857
148,1.48775,0.528717,0.224641,0.142919
149,1.49629,0.554034,0.228005,0.164348
150,1.48758,0.554627,0.240338,0.172804
151,1.50528,0.554178,0.230809,0.178778
152,1.47514,0.516198,0.227795,0.147693
153,1.47948,0.532496,0.220767,0.154278
154,1.49782,0.54304,0.221455,0.153584
155,1.52291,0.549627,0.241733,0.15724
156,1.51488,0.525097,0.234797,0.143578
157,1.51488,0.525097,0.234797,0.143578
158,1.49802,0.532551,0.221573,0.142433
159,1.50468,0.530063,0.222288,0.146521
160,1.54308,0.521571,0.223972,0.156968
161,1.51547,0.548848,0.235014,0.161587
162,1.51547,0.548848,0.235014,0.161587
163,1.52966,0.530793,0.223049,0.146964
164,1.54292,0.523158,0.22409,0.141065
165,1.52912,0.51691,0.225751,0.147988
166,1.50763,0.510377,0.218924,0.142559
167,1.51587,0.510536,0.210266,0.137853
168,1.52708,0.539022,0.219774,0.153738
169,1.51822,0.52586,0.224948,0.139458
170,1.51373,0.529816,0.234903,0.1478
171,1.51684,0.536877,0.218789,0.143861
172,1.48711,0.538038,0.230946,0.169832
173,1.52988,0.548247,0.231537,0.18013
174,1.52683,0.534487,0.222909,0.17801
175,1.53732,0.534647,0.227171,0.176742
176,1.53103,0.526294,0.232262,0.166642
177,1.54914,0.529959,0.22811,0.161895
178,1.52988,0.53308,0.227986,0.160889
179,1.54431,0.531232,0.217118,0.154386
180,1.54254,0.529362,0.220795,0.144861
181,1.572,0.542549,0.237717,0.152843
182,1.54133,0.54838,0.220705,0.146041
183,1.53496,0.544362,0.238271,0.149328
184,1.54619,0.534499,0.2244,0.143064
185,1.53906,0.54491,0.227357,0.148208
186,1.52578,0.528821,0.224307,0.139636
187,1.55071,0.540189,0.231031,0.145988
188,1.51943,0.534579,0.22934,0.138772
189,1.52286,0.546728,0.228717,0.148275
190,1.54385,0.53413,0.242554,0.145483
191,1.54208,0.529404,0.231843,0.144536
192,1.5239,0.534969,0.223305,0.147185
193,1.53748,0.542119,0.224765,0.152318
194,1.51463,0.528747,0.222854,0.137652
195,1.52017,0.522515,0.233388,0.136812
196,1.53138,0.534469,0.228837,0.138174
