MDTU,0,2,4,6,8,10
850,0.00985374,0.0117819,0.0146976,0.0169064,0.020287,0.0211156
860,0.00513035,0.00612353,0.00977087,0.0105001,0.0146969,0.0179809
870,0.0123042,0.0155975,0.0171903,0.0188785,0.0204423,0.0217304
880,0.0141165,0.0150767,0.017115,0.0189366,0.0240289,0.024774
890,0.0173757,0.017898,0.0198333,0.0216453,0.0223394,0.0231102
900,0.0162839,0.0197342,0.0212159,0.0233496,0.0241514,0.0258434
910,0.014764,0.017867,0.0187101,0.0197817,0.0207184,0.0226154
920,0.0194682,0.0212186,0.0224507,0.0233312,0.0244458,0.0260954
930,0.0169361,0.0174983,0.0187794,0.0216682,0.0227081,0.0232933
940,0.0185416,0.0199607,0.0222036,0.0228753,0.0241682,0.0265761
950,0.0158123,0.0201121,0.0212304,0.0224248,0.0267828,0.0285382
960,0.0197751,0.0211677,0.0225189,0.0242316,0.0251202,0.0260272
970,0.0174921,0.0205927,0.0221786,0.0241605,0.0264159,0.027948
980,0.0158002,0.0163654,0.0186493,0.0203919,0.0211763,0.0219516
990,0.010673,0.0118108,0.01383,0.0146828,0.0167143,0.017715
1000,0.00723325,0.0086219,0.0101334,0.0128324,0.0137863,0.0144772
1010,0.0136152,0.0153506,0.0166091,0.0173,0.0178256,0.0196761
1020,0.0105419,0.0118369,0.0141797,0.0168161,0.0216754,0.0224308
1030,0.0118534,0.0127731,0.0167476,0.0184884,0.0215829,0.0235237
1040,0.0124815,0.0155978,0.0167265,0.0198267,0.02093,0.023147
1050,0.0135532,0.0164946,0.017543,0.0182132,0.0202471,0.0220212
1060,0.0173869,0.0193674,0.0212567,0.0232665,0.0246835,0.0250682
1070,0.0144626,0.0163713,0.0198506,0.0208382,0.022998,0.0252235
1080,0.0146815,0.0175604,0.0182934,0.0218145,0.0250045,0.0266198
1090,0.0159053,0.0167994,0.0181691,0.0193829,0.0215614,0.0232511
1100,0.0148274,0.0169935,0.0188108,0.0196689,0.0218915,0.0235202
1110,0.0178778,0.0199568,0.021435,0.0227096,0.0252282,0.0270201
1120,0.0193006,0.0203721,0.021994,0.0225174,0.0243003,0.0260033
1130,0.0119582,0.0141065,0.0186305,0.0198841,0.0241633,0.0251777
1140,0.0100992,0.0125777,0.0142455,0.0158067,0.0191724,0.0201668
1150,0.0143903,0.0160282,0.0168192,0.0187045,0.0198471,0.0217349
1160,0.014101,0.0154464,0.0181796,0.0187726,0.0207026,0.0224876
1170,0.0192372,0.0200463,0.0220035,0.0242856,0.0256357,0.0266558
1180,0.0105101,0.0135353,0.0168494,0.0192998,0.0233987,0.0238894
1190,0.0184632,0.0211176,0.022091,0.0227227,0.0241765,0.0259808
1200,0.0162693,0.0183212,0.0198348,0.0206517,0.0237322,0.0253118
1210,0.0164339,0.0185163,0.0193713,0.0212182,0.0227451,0.0246124
1220,0.0133242,0.0163143,0.0176391,0.0204067,0.0226091,0.0255546
1230,0.0205663,0.0220568,0.0248495,0.0267172,0.0287618,0.0296797
1240,0.020492,0.0222143,0.0238373,0.0249366,0.0263338,0.0276328
1250,0.0200668,0.0216495,0.0235134,0.0264325,0.0307112,0.0317427
1260,0.0214902,0.0229291,0.0259389,0.0272474,0.0302703,0.0309121
1270,0.015031,0.018001,0.0195499,0.0235631,0.0250047,0.0254643
1280,0.00732879,0.00879675,0.00963775,0.0146067,0.0197021,0.0212488
1290,0.0181958,0.0207959,0.02308,0.0259946,0.027949,0.0291236
1300,0.0171875,0.0191536,0.0226212,0.0244303,0.02733,0.0294596
1310,0.0162751,0.0187532,0.0218546,0.0248735,0.0260963,0.0276693
1320,0.0154622,0.0208663,0.0235648,0.0243421,0.0250898,0.0258046
1330,0.0172567,0.0189317,0.0203113,0.0225308,0.0231716,0.0242381
1340,0.0134343,0.0137249,0.0149584,0.0157784,0.0165719,0.0173928
1350,0.0131317,0.0138574,0.0171527,0.0192104,0.0201693,0.0225893
1360,0.0127582,0.0150069,0.0169848,0.0177552,0.0204394,0.0223356
1370,0.0160644,0.0175213,0.0194848,0.0209182,0.0225673,0.0255938
1380,0.0141464,0.0158726,0.0178131,0.0191663,0.0215276,0.0233145
1390,0.0146869,0.0156322,0.0192853,0.0211857,0.0250224,0.0259167
1400,0.014327,0.0167785,0.0200872,0.0243688,0.0285479,0.0301281
1410,0.0148006,0.0164788,0.0183215,0.0215161,0.0253169,0.0272911
1420,0.0128597,0.0144399,0.0185096,0.0208309,0.0246428,0.0265521
