MDTU,plaq_ss,plaq_st
266,0.983863,1.18303
267,0.963009,1.18827
268,0.945667,1.17535
269,0.941708,1.18224
270,0.941708,1.18224
271,0.941708,1.18224
272,0.946557,1.17516
273,0.932826,1.17717
274,0.971252,1.16183
275,0.995131,1.13689
276,0.997732,1.13363
277,0.955569,1.14806
278,0.952122,1.14765
279,0.964353,1.13727
280,0.964353,1.13727
281,0.994281,1.1243
282,0.999896,1.11097
283,1.02592,1.10594
284,1.02838,1.10687
285,1.03821,1.10444
286,1.03821,1.10444
287,1.08127,1.092
288,1.06631,1.09689
289,1.11277,1.06223
290,1.12418,1.07099
291,1.07003,1.1029
292,1.04595,1.10485
293,1.04614,1.11709
294,1.03354,1.12315
295,1.04059,1.11654
296,1.02136,1.12474
297,0.991185,1.12068
298,0.991185,1.12068
299,0.991185,1.12068
300,0.990883,1.12638
301,0.980744,1.12292
302,0.926719,1.15092
303,0.950943,1.13694
304,0.937018,1.16414
305,0.947653,1.14309
306,0.897354,1.15527
307,0.898002,1.15686
308,0.901376,1.13075
309,0.881731,1.15755
310,0.894192,1.15501
311,0.907551,1.18181
312,0.931798,1.16644
313,0.955312,1.14764
314,0.955312,1.14764
315,0.908272,1.18344
316,0.899007,1.18819
317,0.953345,1.16073
318,0.974537,1.16258
319,0.992902,1.1538
320,0.971811,1.14858
321,0.950429,1.17037
322,0.902984,1.18078
323,0.910758,1.15858
324,0.930006,1.13426
325,0.883389,1.15347
326,0.917512,1.15851
327,0.898133,1.16324
328,0.88371,1.15759
329,0.826483,1.18755
330,0.824661,1.16863
331,0.844333,1.1651
332,0.867637,1.16367
333,0.880648,1.15442
334,0.891439,1.17531
335,0.905157,1.17343
336,0.912721,1.17375
337,0.8981,1.16109
338,0.939038,1.18585
339,0.890718,1.17081
340,0.890145,1.16266
341,0.905013,1.17435
342,0.859915,1.17453
343,0.881287,1.20688
344,0.925103,1.18216
345,0.921153,1.21482
346,0.924141,1.22723
347,0.924141,1.22723
348,0.924141,1.22723
349,0.856414,1.22606
350,0.898017,1.19319
351,0.932069,1.16327
352,0.945311,1.14355
353,0.987428,1.13203
354,0.936575,1.1306
355,0.883181,1.14589
356,0.886844,1.1528
357,0.886844,1.1528
358,0.890587,1.14759
359,0.9768,1.11119
360,0.964652,1.10657
361,0.9765,1.1027
362,0.969959,1.10883
363,0.918864,1.12655
364,0.927855,1.12722
365,0.938126,1.14822
366,0.938175,1.13701
367,0.931295,1.14328
368,0.931295,1.14328
369,0.90937,1.11953
370,0.990897,1.1005
371,1.03386,1.08386
372,0.986706,1.08249
373,0.961043,1.08696
374,0.958288,1.10409
375,0.962408,1.12123
376,0.98026,1.13231
377,0.974122,1.12513
378,1.03007,1.08719
379,1.07611,1.09026
380,1.05838,1.10763
381,1.05838,1.10763
382,1.01829,1.11269
383,1.04346,1.09039
384,1.0208,1.09897
385,1.03132,1.08739
386,1.07322,1.07409
387,1.10972,1.05188
388,1.10972,1.05188
389,1.1275,1.03066
390,1.10226,1.03684
391,1.11868,1.04122
392,1.08457,1.02813
393,1.0577,1.05706
394,1.0649,1.04545
395,1.07257,1.02395
396,1.07445,1.0317
397,1.1194,1.02225
398,1.20046,1.00636
399,1.14563,1.02378
400,1.14519,1.04428
401,1.11721,1.0714
402,1.10378,1.05983
403,1.05231,1.07807
404,1.03524,1.09029
405,1.03524,1.09029
406,1.04018,1.1049
407,1.03679,1.09073
408,1.14032,1.05178
409,1.14032,1.05178
410,1.12557,1.05598
411,1.10318,1.0788
412,1.1163,1.05702
413,1.12127,1.06512
414,1.15391,1.0625
415,1.14447,1.07153
416,1.1732,1.06588
417,1.13038,1.08135
418,1.15607,1.0558
419,1.23669,1.04266
420,1.20161,1.0354
421,1.19582,1.05192
422,1.17564,1.07703
423,1.19284,1.06519
424,1.15233,1.08471
425,1.20827,1.071
426,1.16961,1.08175
427,1.13468,1.09197
428,1.15103,1.08492
429,1.19997,1.06247
430,1.19393,1.07483
431,1.17086,1.0891
432,1.12165,1.09767
433,1.07762,1.11947
434,1.0998,1.11351
435,1.05963,1.10462
436,1.05394,1.10871
437,1.04586,1.10933
438,1.04908,1.09967
439,1.09595,1.12315
440,1.09611,1.1316
441,1.04599,1.12068
442,1.12174,1.10952
443,1.12476,1.10146
444,1.12476,1.10146
445,1.1151,1.13469
446,1.1151,1.13469
447,1.11504,1.12201
448,0.992218,1.16147
449,1.04501,1.13924
450,1.05497,1.13168
451,1.09241,1.11723
452,1.08769,1.11019
453,1.09507,1.12075
454,1.09561,1.10485
455,1.10891,1.09951
456,1.07719,1.10413
457,1.04941,1.12501
458,0.995189,1.14199
459,0.907166,1.17021
460,0.922691,1.15678
461,0.962853,1.1624
462,0.984474,1.15064
463,0.932793,1.1704
464,0.988185,1.15336
465,0.966871,1.15581
466,1.01977,1.17417
467,1.03782,1.16885
468,1.0449,1.17623
469,1.01731,1.1519
470,1.03241,1.14327
471,1.03755,1.13227
472,0.969737,1.13916
473,0.984399,1.11641
474,0.94656,1.12982
475,0.955961,1.11896
476,0.973608,1.09766
477,1.0176,1.09902
478,1.04983,1.08925
479,1.04211,1.06447
480,1.01006,1.06991
481,1.00252,1.10578
482,0.997675,1.11939
483,0.998695,1.12996
484,1.00281,1.12215
485,1.02998,1.11304
486,0.991322,1.12533
487,1.00305,1.14412
488,0.970227,1.13651
489,0.99252,1.12451
490,0.997724,1.11397
491,0.982589,1.11178
492,0.957191,1.09646
493,0.94717,1.10552
494,0.953452,1.10941
495,0.945034,1.10353
496,0.906548,1.11078
497,0.922039,1.11815
498,0.922039,1.11815
499,0.866802,1.14005
500,0.890203,1.14746
501,0.890203,1.14746
502,0.8991,1.13516
503,0.940247,1.11992
504,0.981287,1.10202
505,0.970713,1.12657
506,1.01023,1.11125
507,1.01023,1.11125
508,1.01252,1.10441
509,0.947165,1.12464
510,0.938906,1.12637
511,0.926126,1.13759
512,0.926126,1.13759
513,0.934446,1.13032
514,0.915189,1.14294
515,0.90012,1.17408
516,0.953097,1.15804
517,0.956584,1.14518
518,0.967865,1.13503
519,0.972459,1.13386
520,1.02311,1.11019
521,0.968711,1.12381
522,0.959854,1.14458
523,0.959854,1.14458
524,0.996297,1.13006
525,0.991253,1.14145
526,0.947136,1.14043
527,0.926723,1.1543
528,0.906622,1.19327
529,0.89917,1.18754
530,0.933419,1.1896
531,0.97462,1.19546
532,0.998175,1.17484
533,0.990088,1.19177
534,0.968223,1.19078
535,0.975264,1.15033
536,0.989588,1.13944
537,0.958337,1.13055
538,0.937597,1.14872
539,0.973193,1.13816
540,0.963055,1.14622
