ReTr(L),ImTr(L)
1.34295,-0.202014
1.13122,-0.562178
1.45487,-0.911767
1.49339,-1.09465
1.43795,-1.33584
1.45678,-1.07137
1.43733,-1.46274
1.39756,-1.10208
1.46798,-1.02011
1.46798,-1.02011
1.46798,-1.02011
1.72946,-1.14208
1.65647,-0.509098
1.93637,-0.361724
1.97832,-0.317864
2.18504,-0.0263999
2.0562,-0.00191081
2.14619,-0.192103
1.90672,0.595134
1.71407,0.905573
1.77549,1.0793
1.54356,1.06293
1.25681,1.0554
0.991708,1.2126
0.646698,1.12702
0.646698,1.12702
0.895747,1.17954
0.32206,1.16851
0.286335,1.35496
0.132231,0.967741
-0.546832,0.538337
-0.433943,0.653721
-0.151851,0.795472
-0.574385,0.670847
-0.29359,0.870707
-0.23621,0.624986
-0.115021,0.621654
0.369708,0.8318
0.42182,1.0649
0.259218,0.858492
0.635294,0.571668
0.373341,0.390109
0.65532,0.062788
0.0499203,0.339025
0.273646,0.0653727
-0.153937,0.322367
-0.167163,0.139764
-0.162814,0.223245
0.192349,0.461086
0.194368,0.294972
0.0399661,0.271331
0.197804,0.474667
0.385484,0.618923
1.1245,0.666622
0.953616,1.11401
0.711052,0.948496
0.85455,1.12141
0.820261,0.821792
0.820261,0.821792
0.820261,0.821792
0.733162,0.829371
1.41431,0.332812
1.21242,0.13222
1.17568,0.28536
0.998989,0.422849
1.20132,0.135776
1.38016,0.154934
1.30094,-0.0845341
1.30094,-0.0845341
1.35002,-0.292714
1.25776,0.0112316
1.12631,-0.183886
0.97255,-0.137369
1.14533,-0.458722
1.28221,-0.876629
1.38918,-0.881397
1.60454,-0.90119
1.6309,-0.656454
1.71634,-0.717544
1.71634,-0.717544
1.8432,-0.734961
1.35261,-0.823893
1.17744,-0.852723
1.3742,-0.849585
1.24516,-0.61566
1.21829,-1.02809
1.43914,-0.95247
1.28686,-1.04795
1.2482,-0.856186
1.05164,-0.671503
0.903853,-0.706175
1.04804,-0.603508
1.04804,-0.603508
1.15394,-0.370513
0.599833,-0.465604
0.675863,-0.833657
0.654635,-0.41056
0.673175,-0.636073
0.461317,-0.647645
0.461317,-0.647645
0.376054,-0.50598
0.187531,-0.548473
0.27553,-0.348023
0.38417,-0.416647
0.465404,-0.357137
0.517182,-0.160894
0.687019,-0.193526
0.817175,-0.351283
0.953004,-0.307641
0.870021,-0.136136
0.970541,-0.31015
0.994446,-0.298841
1.06047,-0.160846
0.854285,-0.00451916
0.945797,-0.225338
1.1534,-0.286482
1.1534,-0.286482
1.22217,-0.233991
1.22381,-0.182186
0.668674,-0.23823
0.668674,-0.23823
0.685226,-0.279263
0.77486,-0.236108
0.785453,-0.412667
0.834855,-0.581077
0.708489,-0.467581
0.756357,-0.628028
0.564329,-0.636688
0.354811,-0.77023
0.707211,-0.745655
0.669958,-0.726387
0.788214,-0.642627
0.771739,-0.64267
0.645545,-0.822431
0.616831,-0.958067
0.916853,-1.10195
0.845118,-1.08202
0.826544,-0.96542
0.512613,-0.69805
0.710221,-0.803354
0.604854,-0.993789
0.779512,-0.926816
0.458657,-1.25377
0.394647,-1.21577
0.65214,-1.00685
0.544626,-1.22904
0.445769,-1.02545
0.509773,-1.28238
0.461931,-1.58792
0.313393,-1.83249
-0.144062,-2.29899
0.371648,-2.65759
0.06379,-2.47272
0.0654226,-2.01493
-0.541159,-2.13409
-0.541159,-2.13409
0.187444,-2.17198
0.187444,-2.17198
0.460877,-1.84667
0.93071,-2.27793
0.612363,-1.96603
0.706899,-1.98803
0.615725,-1.78899
0.60062,-1.96348
0.343768,-1.89176
0.543426,-1.48528
0.43905,-1.46795
0.737245,-1.32351
0.677867,-1.56049
0.0877387,-2.03814
-0.817755,-2.09523
-0.299946,-1.61527
-0.296379,-1.60089
0.136521,-1.38448
-0.294832,-1.76612
-0.439313,-1.48257
-0.473186,-1.27335
-0.987464,-1.20588
-0.649535,-1.09037
-0.167523,-0.977866
0.105091,-0.862035
-0.241403,-0.588758
0.00650607,-0.586674
0.210471,-0.995224
0.300561,-0.936251
0.0476951,-1.0229
-0.411251,-1.07181
-0.379636,-0.840458
-0.26289,-0.569656
-0.10118,-0.114283
-0.171407,-0.223557
-0.34016,0.229882
-0.331962,-0.0161062
-0.626285,0.116882
-0.633732,-0.0904618
-0.796819,-0.107197
-0.698455,0.154911
-1.1737,0.575473
-1.04768,0.322101
-1.01409,0.439633
-0.763871,0.361545
-0.532438,0.478356
-0.820285,0.851797
-0.898952,0.806677
-0.837541,0.729598
-0.866012,0.840686
-0.472593,1.03476
-0.951113,1.35542
-0.84677,0.913288
-0.84677,0.913288
-1.02081,1.98951
-0.86343,1.54317
-0.86343,1.54317
-1.03002,1.1723
-0.6614,1.01552
-0.599667,0.864429
-0.576837,0.792396
-0.561681,0.907139
-0.561681,0.907139
-0.48717,0.91411
-0.705377,0.909264
-0.833433,0.623199
-0.688487,0.626292
-0.688487,0.626292
-0.555417,0.630177
-0.784397,0.575139
-0.931785,0.502301
-0.927414,0.395159
-0.465205,0.632603
-0.548504,0.842595
-0.751812,0.76858
-0.883752,0.660267
-1.42727,0.53925
-1.61947,0.19341
-1.61947,0.19341
-1.48353,0.288264
-1.67571,0.0823633
-1.52922,-0.0244472
-1.85251,0.33452
-2.75558,0.0264439
-2.17728,0.572827
-2.08733,1.65919
-2.06334,1.93668
-2.19891,1.93906
-2.6758,1.83521
-2.22355,1.73725
-1.71172,1.21554
-1.60361,0.868177
-1.76138,0.982126
-2.21606,1.09807
-1.55479,0.604714
-2.03836,-0.0793303
-1.93797,0.52528
-1.2763,0.777888
-1.12457,0.914525
-0.858473,1.00698
-0.858473,1.00698
-0.958553,0.819266
-1.10404,1.06561
-0.732163,1.1778
-0.76548,1.52625
-0.685168,1.20312
-0.685168,1.20312
-1.28017,0.965145
-1.11672,0.782637
-0.630508,0.927693
-0.630497,1.07869
-0.438707,1.01909
0.0878332,1.21679
0.107014,0.766828
-0.0611026,1.02944
0.117392,1.09485
0.145297,1.28504
-0.169746,1.0414
0.0507005,1.14533
0.0802394,1.02281
0.103063,1.16877
-0.00954136,1.57389
0.170063,1.55063
0.414775,1.46957
-0.558292,1.21622
-0.544066,1.33391
-0.575357,1.32488
-0.505348,1.60367
-0.589269,1.57622
-0.589269,1.57622
0.160926,1.89943
0.443558,2.07937
0.631054,2.26125
0.809221,1.89332
0.51512,1.95105
0.325132,1.65298
0.501084,1.74002
0.575946,2.02673
0.565852,1.65145
0.763832,1.45796
0.841099,1.68667
0.846806,1.33488
0.639394,1.27445
0.950966,0.971489
0.772568,1.04763
1.08873,1.2952
0.432297,1.16442
0.599901,0.987027
0.352164,0.618815
0.541533,0.608944
0.281421,0.365676
0.468073,0.296495
0.622448,0.34598
0.706189,0.262801
0.819839,0.219619
0.94597,0.159339
0.516583,-0.0316562
0.241624,0.173922
0.533771,0.442735
0.480064,0.845133
0.43295,0.830489
0.762729,0.864763
0.447227,0.622126
0.397442,0.62386
0.346919,0.753474
0.486104,1.09532
0.563442,1.25925
1.38611,0.957406
1.55549,1.13294
1.44793,0.659775
1.27741,0.835961
0.958001,0.94043
0.667159,0.523812
0.415298,0.737006
0.349131,0.782219
0.0951457,1.22883
1.09413,2.05816
0.904889,1.03037
0.781234,1.0071
0.887046,0.887893
1.13021,0.37722
0.868069,0.14915
0.868069,0.14915
1.35532,0.033068
1.15332,-0.137406
0.727081,-0.179657
0.693759,-0.424506
0.492281,-0.426501
0.463199,-0.109076
0.733908,-0.13659
0.570385,0.223849
0.431207,0.0632791
0.431207,0.0632791
0.370599,0.209018
0.616439,-0.100348
0.476662,-0.197511
