MDTU,link
458,1.10905
459,1.10416
460,1.10034
461,1.10725
462,1.10321
463,1.10477
464,1.10627
465,1.10805
466,1.11579
467,1.11558
468,1.11822
469,1.1112
470,1.11435
471,1.10908
472,1.10406
473,1.10009
474,1.09955
475,1.09859
476,1.09374
477,1.10067
478,1.10288
479,1.09412
480,1.08964
481,1.09845
482,1.10357
483,1.10744
484,1.10381
485,1.10737
486,1.1053
487,1.11483
488,1.10858
489,1.10768
490,1.10554
491,1.10845
492,1.09865
493,1.09837
494,1.10003
495,1.09905
496,1.09602
497,1.09826
498,1.09826
499,1.0989
500,1.10404
501,1.10404
502,1.10512
503,1.10385
504,1.10193
505,1.1091
506,1.11089
507,1.11089
508,1.11241
509,1.10586
510,1.10837
511,1.11081
512,1.11081
513,1.11161
514,1.11098
515,1.11896
516,1.12342
517,1.11596
518,1.11537
519,1.11335
520,1.11512
521,1.11033
522,1.12068
523,1.12068
524,1.12063
525,1.12126
526,1.10969
527,1.11777
528,1.13187
529,1.12076
530,1.12728
531,1.13697
532,1.13756
533,1.13832
534,1.13694
535,1.12459
536,1.12093
537,1.11555
538,1.11941
539,1.11622
540,1.11875
541,1.11046
542,1.11373
543,1.11035
544,1.10762
545,1.10762
546,1.11006
547,1.11633
548,1.11121
549,1.10822
550,1.10789
551,1.10789
552,1.11119
553,1.11497
554,1.11513
555,1.11538
556,1.12293
557,1.1186
558,1.11564
559,1.11922
560,1.12188
561,1.12001
562,1.11016
563,1.111
564,1.11367
565,1.11718
566,1.13286
567,1.1193
568,1.12622
569,1.12818
570,1.13242
571,1.1263
572,1.1273
573,1.12901
574,1.12901
575,1.12749
576,1.1261
577,1.12574
578,1.11893
579,1.1065
580,1.11063
581,1.10848
582,1.11343
583,1.11187
584,1.10889
585,1.11844
586,1.11875
587,1.11523
588,1.10684
589,1.10591
590,1.1067
591,1.11101
592,1.11188
593,1.11699
594,1.11007
595,1.11029
596,1.10951
597,1.10257
598,1.10454
599,1.10829
600,1.10541
601,1.10757
602,1.10348
603,1.11007
604,1.11345
605,1.10715
606,1.10929
607,1.10919
608,1.10564
609,1.10976
610,1.11048
611,1.10229
612,1.10803
613,1.10736
614,1.10826
615,1.11096
616,1.11249
617,1.10415
618,1.10903
619,1.10968
620,1.11543
621,1.12681
622,1.11804
623,1.11443
624,1.12472
625,1.11283
626,1.11314
627,1.11314
628,1.1189
629,1.11338
630,1.10609
631,1.10297
632,1.10187
633,1.10906
634,1.10532
635,1.0998
636,1.10041
637,1.10041
638,1.09941
639,1.09593
640,1.10071
641,1.10343
642,1.10343
643,1.10343
644,1.10504
645,1.11088
646,1.11485
647,1.12667
648,1.13373
649,1.13666
650,1.14285
651,1.14341
652,1.14719
653,1.14844
654,1.15024
655,1.14512
656,1.14587
657,1.14807
658,1.15516
659,1.15642
660,1.15642
661,1.15887
662,1.15473
663,1.14012
664,1.13411
665,1.13084
666,1.12451
667,1.12421
668,1.12421
669,1.13207
670,1.12706
671,1.12594
672,1.11862
673,1.11754
674,1.11385
675,1.11674
676,1.11632
677,1.11214
678,1.11327
679,1.10462
680,1.10882
681,1.11531
682,1.10822
683,1.10665
684,1.11125
685,1.11125
686,1.10401
687,1.10092
688,1.09669
689,1.09875
690,1.10023
691,1.09473
692,1.09473
693,1.09418
694,1.09628
695,1.10139
696,1.09382
697,1.09638
698,1.10328
699,1.10585
700,1.10643
701,1.09865
702,1.10349
703,1.11039
704,1.10372
705,1.1114
706,1.11255
707,1.10317
708,1.0979
709,1.10907
710,1.11223
711,1.11381
712,1.1175
713,1.11623
714,1.11255
715,1.11166
716,1.11116
717,1.11375
718,1.11375
719,1.11752
720,1.11278
721,1.10784
722,1.10861
723,1.11031
724,1.11031
725,1.117
726,1.11361
727,1.10835
728,1.10993
729,1.11585
730,1.11878
731,1.11801
732,1.12184
733,1.11815
734,1.11724
735,1.10697
736,1.09698
737,1.0938
738,1.10161
739,1.10169
740,1.09833
741,1.10017
742,1.09218
743,1.09783
744,1.09783
745,1.09814
746,1.09517
747,1.10042
748,1.09933
749,1.10543
750,1.10521
751,1.10744
752,1.10073
753,1.10031
754,1.09848
755,1.10207
756,1.09381
757,1.10153
758,1.10685
759,1.10666
760,1.10725
761,1.10399
762,1.09925
763,1.09803
764,1.09163
765,1.08914
766,1.09132
767,1.09212
768,1.08737
769,1.08612
770,1.09117
771,1.09316
772,1.08527
773,1.0844
774,1.0844
775,1.09384
776,1.09372
777,1.09874
778,1.09919
779,1.10602
780,1.11377
781,1.10643
782,1.10869
783,1.1119
784,1.10671
785,1.10821
786,1.1068
787,1.1016
788,1.10436
789,1.09647
790,1.10651
791,1.10962
792,1.10302
793,1.10892
794,1.10449
795,1.11542
796,1.11333
797,1.1088
798,1.11531
799,1.1188
800,1.11557
801,1.11304
802,1.11089
803,1.12207
804,1.12417
805,1.12361
806,1.13268
807,1.13429
808,1.12773
809,1.13105
810,1.12157
811,1.1314
812,1.13702
813,1.14167
814,1.14621
815,1.15488
816,1.16222
817,1.1542
818,1.15302
819,1.15482
820,1.14111
821,1.14059
822,1.14777
823,1.14053
824,1.13529
825,1.13115
826,1.11903
827,1.12139
828,1.12135
829,1.12833
830,1.12551
831,1.13356
832,1.14362
833,1.13238
834,1.13238
835,1.14312
836,1.14312
837,1.13433
838,1.14293
839,1.12755
840,1.13239
841,1.13555
842,1.14031
843,1.13483
844,1.14022
845,1.14266
846,1.14011
847,1.14085
848,1.1416
849,1.1416
850,1.13552
851,1.13314
852,1.12789
853,1.13693
854,1.14126
855,1.1433
856,1.12909
857,1.13565
858,1.12856
859,1.13624
860,1.14041
861,1.13214
862,1.13283
863,1.1199
864,1.12988
865,1.12439
866,1.13436
867,1.13578
868,1.13373
869,1.12312
870,1.11987
871,1.11778
872,1.11424
873,1.12218
874,1.11474
875,1.11316
876,1.12178
877,1.11186
878,1.11134
879,1.11134
880,1.11739
881,1.11789
882,1.11947
883,1.11621
884,1.11621
885,1.11783
886,1.11056
887,1.11704
888,1.10993
889,1.12353
890,1.12593
891,1.12593
892,1.12226
893,1.1158
894,1.11167
895,1.10813
896,1.10908
897,1.11345
898,1.11482
899,1.11891
900,1.12267
901,1.12267
902,1.12635
903,1.1259
904,1.12972
905,1.13365
906,1.13365
907,1.13196
908,1.12972
909,1.12597
910,1.12244
911,1.1204
912,1.11409
913,1.1253
914,1.13073
915,1.12555
916,1.12917
917,1.14048
918,1.13147
919,1.13353
920,1.1274
921,1.12422
922,1.1319
923,1.12336
924,1.12155
925,1.1182
926,1.12139
927,1.12139
928,1.12002
929,1.11818
930,1.11542
931,1.11691
932,1.11704
933,1.11704
934,1.1144
935,1.11515
936,1.11786
937,1.12089
938,1.11722
939,1.111
940,1.111
941,1.11639
942,1.11136
943,1.11374
944,1.11374
945,1.11984
946,1.11829
947,1.12214
948,1.12094
949,1.13172
950,1.12739
951,1.12371
952,1.11623
953,1.12194
954,1.12357
955,1.12094
956,1.12376
957,1.11957
958,1.11839
959,1.11864
960,1.11552
961,1.118
962,1.118
963,1.12318
964,1.11941
965,1.1164
966,1.1164
967,1.11406
968,1.11863
969,1.12429
970,1.12156
971,1.11131
972,1.10464
973,1.10886
974,1.1087
975,1.10795
976,1.10365
977,1.10663
978,1.10833
979,1.10871
980,1.10659
981,1.10922
982,1.10263
983,1.10604
984,1.10493
985,1.10746
986,1.10881
987,1.10558
988,1.10545
989,1.11146
990,1.10515
991,1.10263
992,1.09328
993,1.09317
994,1.09492
995,1.09282
996,1.0984
997,1.10164
998,1.10577
999,1.1061
1000,1.10579
1001,1.1112
1002,1.1112
1003,1.10917
1004,1.11431
1005,1.11431
1006,1.11419
1007,1.10765
1008,1.10598
1009,1.10767
1010,1.10352
1011,1.1072
1012,1.10093
1013,1.11427
1014,1.10685
1015,1.10475
1016,1.11277
1017,1.11411
1018,1.11885
1019,1.11629
1020,1.11843
1021,1.11318
1022,1.1161
1023,1.1073
1024,1.11222
1025,1.11222
1026,1.11675
1027,1.11656
1028,1.12881
1029,1.12408
1030,1.13134
1031,1.12905
1032,1.13511
1033,1.12992
1034,1.13069
1035,1.12367
1036,1.11833
1037,1.11833
1038,1.11078
1039,1.11397
1040,1.11049
1041,1.1165
1042,1.1165
1043,1.11129
1044,1.11635
1045,1.11635
1046,1.11614
1047,1.11623
1048,1.11891
1049,1.11852
1050,1.11574
1051,1.11246
1052,1.10839
1053,1.11235
1054,1.11924
1055,1.11303
1056,1.11308
1057,1.11663
1058,1.12158
1059,1.12596
1060,1.1244
1061,1.12308
1062,1.12576
1063,1.11791
1064,1.11455
1065,1.11029
1066,1.11217
1067,1.10517
1068,1.10417
1069,1.1129
1070,1.10793
1071,1.1172
1072,1.11339
1073,1.10405
1074,1.11465
1075,1.11465
1076,1.12002
1077,1.11919
1078,1.11732
1079,1.11835
1080,1.119
1081,1.11586
1082,1.1143
1083,1.10302
1084,1.09447
1085,1.09918
1086,1.10334
1087,1.10817
1088,1.10817
1089,1.10412
1090,1.1046
1091,1.10022
1092,1.10577
1093,1.10435
1094,1.10435
1095,1.10646
1096,1.09943
1097,1.09803
1098,1.09803
1099,1.09929
1100,1.09758
1101,1.09758
1102,1.09794
1103,1.10226
1104,1.10301
1105,1.09691
1106,1.09574
1107,1.09706
1108,1.10087
1109,1.09307
1110,1.09937
1111,1.0972
1112,1.09344
1113,1.09141
1114,1.09621
1115,1.09654
1116,1.09722
1117,1.10271
1118,1.10423
1119,1.10413
1120,1.10248
1121,1.10339
1122,1.11023
1123,1.1018
1124,1.10977
1125,1.10763
1126,1.10713
1127,1.11148
1128,1.1
1129,1.10434
1130,1.10926
1131,1.1113
1132,1.10468
1133,1.11329
1134,1.11341
1135,1.10982
1136,1.10272
1137,1.1014
1138,1.09963
1139,1.10823
1140,1.11043
1141,1.10507
1142,1.10534
1143,1.10396
1144,1.10114
1145,1.11106
1146,1.10432
1147,1.10314
1148,1.10507
1149,1.09755
1150,1.09821
1151,1.09513
1152,1.09513
1153,1.10367
1154,1.10188
1155,1.10188
1156,1.10112
1157,1.09984
1158,1.09749
1159,1.09709
1160,1.09431
1161,1.09684
1162,1.10705
1163,1.10742
1164,1.105
1165,1.10347
1166,1.10494
1167,1.10358
1168,1.11062
1169,1.10957
1170,1.1084
1171,1.11453
1172,1.11057
1173,1.10829
1174,1.10592
1175,1.10824
1176,1.10824
1177,1.10172
1178,1.10172
1179,1.0969
1180,1.09787
1181,1.10097
1182,1.09919
1183,1.10444
1184,1.11124
1185,1.11026
1186,1.11148
1187,1.11148
1188,1.11274
1189,1.10864
1190,1.11132
1191,1.11134
1192,1.1113
1193,1.1113
1194,1.11421
1195,1.11402
1196,1.10304
1197,1.10304
1198,1.10472
1199,1.10577
1200,1.10438
1201,1.09841
1202,1.10393
1203,1.10393
1204,1.10304
1205,1.10078
1206,1.10542
1207,1.10542
1208,1.10135
1209,1.1015
1210,1.10806
1211,1.10451
1212,1.10892
1213,1.10653
1214,1.10908
1215,1.1103
1216,1.11593
1217,1.11834
1218,1.11849
1219,1.11715
1220,1.11599
1221,1.1182
1222,1.1182
1223,1.11906
1224,1.13276
1225,1.12553
1226,1.13095
1227,1.13765
1228,1.14335
1229,1.14637
1230,1.14634
1231,1.13688
1232,1.13725
1233,1.13725
1234,1.13949
1235,1.13669
1236,1.12708
1237,1.12708
1238,1.12415
1239,1.11699
1240,1.11712
1241,1.11443
1242,1.12167
1243,1.12466
1244,1.12311
1245,1.1253
1246,1.1253
1247,1.1187
1248,1.12403
1249,1.11807
1250,1.12678
1251,1.13167
1252,1.1242
1253,1.12298
1254,1.12517
1255,1.12184
1256,1.11905
1257,1.11905
1258,1.11749
1259,1.11748
1260,1.12571
1261,1.12265
1262,1.11914
1263,1.12992
