MDTU,0,2,4,6,8,10
1020,16.3992,16.3477,16.2674,16.244,15.843,15.7743
1030,17.5281,17.5063,17.1138,17.0866,16.8782,16.866
1040,15.7772,15.7233,15.2187,15.1883,15.1404,15.0832
1050,15.7364,15.6905,15.5604,15.5257,15.418,15.3871
1060,16.4724,16.3163,16.0106,15.9758,15.8707,15.8538
1070,15.9745,15.9391,15.8179,15.8045,15.6483,15.6165
1080,16.8522,16.8314,16.5003,16.4885,16.4411,16.4114
1090,16.1124,16.088,15.8919,15.8826,15.7115,15.6743
1100,15.6502,15.516,15.4959,15.4726,15.1291,15.0895
1110,15.3203,15.287,15.2428,15.1833,14.95,14.9
1120,15.5142,15.4249,15.0644,15.0184,14.8546,14.8029
1130,16.2328,16.1947,15.9766,15.9709,15.6969,15.624
1140,15.6717,15.6181,15.4405,15.3669,15.2488,15.1511
1150,16.4371,16.4042,16.0828,15.9814,15.7753,15.7427
1160,15.3578,15.2962,15.1021,15.0557,14.9217,14.9038
1170,15.3671,15.2974,15.1922,15.1459,15.0626,14.9547
1180,15.703,15.6476,15.5002,15.4659,15.2513,15.1977
1190,16.8075,16.7195,16.4201,16.3751,16.2832,16.2196
1200,15.703,15.5867,15.2964,15.2682,15.0893,15.0528
1210,15.9166,15.8793,15.5659,15.5401,15.4997,15.4582
1220,16.4809,16.3302,15.9983,15.9639,15.6746,15.6546
1230,17.0155,16.8633,16.7465,16.7224,16.2893,16.2476
1240,15.0586,14.9734,14.8999,14.7962,14.7742,14.7118
1250,16.2247,16.1547,16.0968,16.0336,15.8487,15.7786
1260,16.6606,16.5806,16.3534,16.3046,16.0685,16.0029
1270,15.6626,15.6448,15.399,15.2915,15.2514,15.2048
1280,17.3771,17.333,17.1658,17.1538,16.7296,16.6807
1290,16.7077,16.6488,16.4736,16.428,16.1526,16.1332
1300,16.8083,16.7281,16.4296,16.3802,16.238,16.2005
1310,16.8904,16.8542,16.504,16.4472,16.183,16.1306
1320,16.5072,16.4806,16.1144,16.0624,15.9903,15.9399
1330,16.5102,16.4632,16.0581,16.0165,15.9082,15.8661
1340,15.7418,15.657,15.4289,15.3049,15.1968,15.1073
1350,15.1132,15.0758,14.9006,14.8381,14.6294,14.6048
1360,14.9816,14.9141,14.7358,14.677,14.595,14.5805
1370,15.5964,15.5312,15.2881,15.183,15.1186,15.0809
1380,15.3995,15.2887,15.1227,15.0156,14.8566,14.7762
1390,15.6017,15.5563,15.5217,15.4968,15.2919,15.26
1400,16.2903,16.2277,16.0349,15.9385,15.7989,15.7315
1410,16.3671,16.3295,16.145,16.083,15.701,15.675
1420,16.3002,16.2037,15.9943,15.9755,15.9268,15.8953
1430,15.9764,15.922,15.7984,15.7603,15.6014,15.513
1440,16.0617,15.9372,15.7156,15.6717,15.5623,15.4865
1450,15.6645,15.5954,15.5351,15.4581,15.3725,15.3193
1460,15.618,15.5425,15.4572,15.341,15.3248,15.2883
1470,16.7284,16.6217,15.9391,15.8066,15.7511,15.7188
1480,17.0599,16.5309,16.1049,15.9834,15.6987,15.601
1490,15.9374,15.9148,15.9085,15.87,15.6513,15.5769
1500,16.9699,16.9493,16.4198,16.3929,16.2633,16.2398
1510,17.8603,17.785,17.5234,17.4784,17.1707,17.0881
1520,19.3128,19.2383,19.1635,19.1099,18.6547,18.5778
1530,21.3868,21.3299,20.9194,20.8318,20.5205,20.4547
1540,20.2588,20.2425,19.9605,19.9304,19.6289,19.5847
1550,19.3664,19.3385,19.0278,19.0175,18.7316,18.7082
1560,19.1449,19.0889,18.5785,18.5602,18.4731,18.4517
1570,20.1392,20.0557,19.3736,19.3553,19.0761,19.0476
1580,20.109,20.0849,19.8751,19.86,19.5415,19.4799
1590,17.7442,17.714,17.4593,17.4198,17.2576,17.2151
1600,16.6342,16.5376,16.4248,16.3959,16.0007,15.9402
1610,17.673,17.6546,17.1238,17.0472,16.9965,16.9692
1620,16.5308,16.1468,15.827,15.7564,15.6039,15.5391
1630,15.7794,15.7219,15.4629,15.2472,15.19,15.1551
1640,15.4595,15.2643,15.2234,15.1542,15.0912,15.0499
1650,15.5586,15.5265,15.2641,15.2265,14.9962,14.9561
1660,15.7337,15.5515,15.3282,15.1543,15.1071,15.0333
1670,16.1087,16.0673,15.8258,15.7941,15.5629,15.5517
1680,14.9254,14.8852,14.7406,14.7114,14.7033,14.6511
1690,15.4249,15.386,15.3188,15.302,15.1947,15.1162
1700,16.3174,16.2888,16.0247,15.9846,15.891,15.8151
1710,16.4405,16.3965,16.2427,16.1877,16.0342,15.9292
1720,17.447,17.4032,17.3207,17.2628,17.0374,16.9217
1730,15.9705,15.9491,15.7186,15.7,15.641,15.5987
1740,16.2522,16.1182,16.0219,15.9551,15.76,15.6374
1750,16.2262,16.1728,15.909,15.8566,15.598,15.5479
1760,15.9483,15.913,15.6404,15.6067,15.5573,15.5027
1770,15.9268,15.8585,15.6153,15.5109,15.2851,15.2652
1780,15.836,15.7608,15.6313,15.5558,15.2532,15.166
1790,15.055,15.0191,14.7934,14.772,14.6281,14.5866
1800,15.9063,15.8599,15.7122,15.6471,15.519,15.4967
1810,15.7605,15.6917,15.3336,15.3171,15.257,15.241
1820,15.798,15.7602,15.4534,15.4414,15.3419,15.3161
1830,16.4782,16.3726,16.023,15.9708,15.955,15.91
1840,15.8713,15.8404,15.7873,15.7368,15.4699,15.4113
1850,15.2611,15.1066,15.0389,14.9476,14.7972,14.7567
1860,16.1919,15.8518,15.7921,15.4969,15.3861,15.2772
1870,14.8327,14.7722,14.6912,14.6643,14.5143,14.433
1880,16.0055,15.956,15.7087,15.6776,15.4518,15.3956
1890,15.769,15.7014,15.4151,15.3797,15.36,15.303
1900,15.708,15.6694,15.3469,15.2449,15.2035,15.1162
1910,15.2562,15.2077,15.1536,15.129,15.0386,14.961
1920,15.3643,15.3489,15.2298,15.2147,15.0507,15.0069
1930,15.8953,15.854,15.3002,15.2677,15.1888,15.1632
