t,deltaS
431,0.1666
432,-0.3276
433,-0.07527
434,0.06476
435,0.0285
436,0.03186
437,0.009763
438,0.1094
439,0.2374
440,0.2275
441,-0.3726
442,0.02682
443,0.05936
444,0.3008
445,-0.2369
446,0.2392
447,0.07961
448,0.3667
449,0.08551
450,-0.1745
451,-0.1254
452,0.1757
453,0.1199
454,-0.09259
455,-0.2326
456,-0.2946
457,0.06847
458,-0.00841
459,-0.04111
460,-0.01886
461,-0.08285
462,0.2199
463,0.04698
464,-0.05739
465,-0.2391
466,0.1595
467,-0.1928
468,-0.1553
469,-0.2605
470,-0.07859
471,0.3459
472,0.1059
473,0.1636
474,-0.3145
475,0.0571
476,-0.0007188
477,-0.02989
478,-0.126
479,-0.261
480,0.2725
481,-0.1891
482,-0.3637
483,0.02432
484,-0.03937
485,-0.1343
486,0.08417
487,-0.04729
488,-0.02996
489,0.1491
490,0.2533
491,-0.2786
492,-0.02615
493,0.0754
494,0.1381
495,0.1126
496,-0.1614
497,0.02604
498,0.4271
499,-0.1979
500,-0.1994
501,0.3436
502,0.1783
503,0.2716
504,0.1391
505,0.302
506,0.2811
507,0.07863
508,0.1083
509,0.01119
510,-0.1956
511,0.01303
512,0.2545
513,0.3406
514,-0.1004
515,-0.4013
516,0.284
517,0.2289
518,-0.03609
519,-0.1168
520,0.1649
521,0.03195
522,-0.0247
523,0.1231
524,-0.0549
525,0.09862
526,-0.1558
527,0.03651
528,-0.1878
529,-0.007423
530,0.07863
531,-0.02166
532,0.2019
533,0.2484
534,-0.21
535,-0.2993
536,0.1354
537,0.02859
538,0.1624
539,0.006156
540,0.2178
541,0.0345
542,-0.2844
543,0.0675
544,-0.03683
545,0.07388
546,0.02945
547,0.2827
548,-0.02908
549,0.03695
550,-0.02608
551,0.3195
552,0.08433
553,-0.1173
554,0.1509
555,0.2195
556,0.1623
557,0.02629
558,0.05896
559,-0.09188
560,-0.1881
561,0.309
562,0.1186
563,0.037
564,-0.1868
565,0.373
566,-0.1684
567,0.08856
568,0.1553
569,0.2751
570,-0.0998
571,-0.1702
572,-0.1059
573,0.2431
574,0.07489
575,-0.2239
576,0.07799
577,-0.08506
578,0.1149
579,-0.4031
580,0.03508
581,-0.3527
582,-0.06038
583,-0.2239
584,0.1924
585,0.17
586,-0.1646
587,-0.2251
588,0.2133
589,0.117
590,-0.1233
591,0.003016
592,-0.0656
593,-0.3388
594,0.2017
595,-0.05854
596,-0.1303
597,0.3927
598,0.1347
599,0.05917
600,-0.01534
601,-0.05663
602,-0.1158
603,0.06425
604,0.0143
605,0.08295
606,0.1994
607,0.2526
608,-0.003176
609,-0.07742
610,0.1662
611,0.101
612,0.09557
613,-0.03115
614,-0.02888
615,0.2462
616,-0.2037
617,-0.2351
618,0.2031
619,-0.03772
620,0.2677
621,0.08469
622,-0.00132
623,-0.06577
624,-0.1081
625,-0.14
626,0.2736
627,0.5102
628,0.001537
629,-0.06003
630,-0.2059
631,-0.09874
632,-0.1892
633,0.08813
634,-0.02536
635,-0.1308
636,-0.09542
637,0.1232
638,0.0955
639,0.04622
640,-0.3437
641,-0.147
642,0.3012
643,0.432
644,0.08496
645,0.045
646,-0.3455
647,0.1999
648,-0.2204
649,0.07007
650,-0.01943
651,0.0145
652,0.3353
653,0.261
654,0.2586
655,0.2066
656,0.105
657,0.08296
658,0.004185
659,0.08244
660,0.2995
661,0.07477
662,-0.0687
663,-0.028
664,0.005602
665,-0.1709
666,0.06746
667,-0.3446
668,0.2244
669,0.336
670,-0.194
671,0.243
672,0.1126
673,-0.1928
674,-0.03584
675,-0.0747
676,0.1831
677,0.08121
678,-0.2327
679,0.03817
680,-0.1967
681,-0.3424
682,0.3688
683,-0.3663
684,-0.1835
685,0.09289
686,0.01604
687,0.331
688,-0.02738
689,-0.2541
690,0.1755
691,-0.3132
692,0.1355
693,-0.06829
694,0.02629
695,0.06784
696,0.2258
697,0.1854
698,0.043
699,0.4012
700,-0.07522
701,0.05896
702,-0.2762
703,0.1004
704,-0.1441
705,-0.0129
706,-0.0325
707,-0.1234
708,-0.1187
709,-0.2337
710,-0.374
711,-0.4478
712,0.005792
713,0.3201
714,0.1055
715,0.1806
716,0.1954
717,-0.2858
718,0.1773
719,0.1963
720,-0.0559
721,0.1838
722,-0.02375
723,-0.156
724,0.1315
725,-0.2627
726,0.1043
727,-0.1249
728,0.07066
729,-0.1777
730,-0.007187
731,0.04515
732,-0.01271
733,0.1447
734,0.05769
735,0.06287
736,0.1633
737,-0.0841
738,-0.003224
739,0.1123
740,-0.1311
741,0.1057
742,0.02422
743,-0.193
744,0.2566
745,-0.007986
746,-0.2262
747,-0.04451
748,0.1942
749,-0.2874
750,0.3377
751,-0.3014
752,0.3901
753,-0.1651
754,-0.008103
755,0.1486
756,0.01471
757,0.2886
758,-0.2861
759,-0.2184
760,-0.08184
761,-0.1752
762,0.01724
763,-0.01787
764,-0.1441
765,-0.06275
766,-0.1566
767,-0.137
768,0.1437
769,-0.04667
770,0.08738
771,-0.0459
772,0.07807
773,0.1166
774,0.3852
775,-0.2257
776,0.1317
777,0.01219
778,0.1118
779,-0.237
780,-0.1336
781,0.2683
782,0.01615
783,-0.02511
784,-0.08289
785,0.1347
786,0.1447
787,-0.02787
788,-0.03011
789,0.1522
790,-0.1455
791,-0.09354
792,0.1243
793,-0.3029
794,0.03767
795,0.07251
796,-0.1428
797,0.0144
798,0.189
799,-0.06351
800,-0.1186
801,0.1718
802,0.3834
803,-0.0874
804,-0.1126
805,0.02454
806,-0.03819
807,0.2436
808,0.01055
809,-0.06963
810,0.1909
811,0.1983
812,-0.08318
813,0.1796
814,0.06457
815,0.2805
816,0.1756
817,-0.08289
818,-0.2054
819,-0.1712
820,-0.2739
821,0.3757
822,-0.09862
823,0.1532
824,-0.1542
825,0.5583
826,0.008451
827,0.1746
828,0.03475
829,0.293
830,0.3526
831,-0.3222
832,0.04642
833,0.07757
834,0.4487
835,0.187
836,0.1213
837,0.05454
838,0.2082
839,-0.05329
840,-0.04977
841,-0.1487
842,-0.04128
843,0.0775
844,-0.1774
845,0.1986
846,0.05713
847,0.1497
848,-0.1672
849,0.1666
850,-0.05532
851,0.1465
852,0.03831
853,-0.04451
854,0.02412
855,0.1362
856,0.2904
857,0.1542
858,-0.01368
859,-0.154
860,0.01831
861,-0.5283
862,-0.3102
863,-0.09486
864,0.2142
865,-0.08372
866,0.05675
867,0.006917
868,0.009777
869,0.1499
870,-0.3536
871,-0.211
872,-0.02291
873,0.08178
874,-0.07437
875,-0.02808
876,-0.07655
877,0.3347
878,-0.1343
879,0.185
880,0.241
881,-0.1488
882,0.3866
883,0.03254
884,0.1726
885,0.08363
886,-0.3366
887,0.0852
888,-0.05748
889,-0.003813
890,-0.2199
891,0.142
892,0.2183
893,0.226
894,0.1273
895,0.2923
