MDTU,min_min,min_max,max_min,max_max5
128,-0.993173,0.0631031,-0.0156065,0.462884
129,-1.0189,0.131449,-0.00913648,0.531517
130,-1.25875,0.106049,-0.046142,0.471959
131,-1.23914,0.112697,-0.100471,0.454701
132,-1.23914,0.112697,-0.100471,0.454701
133,-1.43892,0.0822577,-0.0682983,0.495287
134,-1.14632,0.143884,-0.0419914,0.509541
135,-1.30009,0.105542,-0.148035,0.50566
136,-1.36235,0.113193,-0.119303,0.466896
137,-1.70398,0.0867735,-0.0240777,0.480824
138,-1.16244,0.11107,-0.0421355,0.509445
139,-1.2616,0.125248,-0.0335435,0.528706
140,-1.01548,0.137569,-0.0256672,0.460626
141,-0.998631,0.0843815,0.0148281,0.460633
142,-1.11689,0.035852,0.0276437,0.532252
143,-1.25335,0.0678855,0.0206976,0.452002
144,-1.14147,0.100915,-0.00615439,0.460917
145,-1.30953,0.0726131,-0.0445796,0.450024
146,-1.33188,0.123051,-0.0388039,0.457713
147,-1.37439,0.101266,-0.0541965,0.454592
148,-0.98984,0.094057,0.0129701,0.469948
149,-0.933747,0.114713,-0.0452975,0.469682
150,-1.25775,0.124699,-0.107428,0.468603
151,-1.35957,0.117842,-0.0238441,0.482413
152,-1.03457,0.111591,-0.0674035,0.445317
153,-1.17631,0.0981907,-0.01131,0.47853
154,-1.1468,0.0706254,-0.0824311,0.474645
155,-1.35795,0.096972,-0.000831509,0.485977
156,-1.12974,0.070272,-0.0454053,0.485195
157,-1.12974,0.070272,-0.0454053,0.485195
158,-0.992041,0.0564967,-0.0125557,0.454841
159,-1.16762,0.109332,-0.0420642,0.471263
160,-1.3886,0.0662481,-0.0297063,0.502606
161,-1.1251,0.0923918,-0.0143277,0.492962
162,-1.1251,0.0923918,-0.0143277,0.492962
163,-1.0789,0.0960171,-0.0523566,0.461671
164,-1.40987,0.066701,-0.0472326,0.471023
165,-1.27414,0.0769977,0.00942959,0.47695
166,-1.12578,0.134866,-0.0422941,0.473846
167,-1.39181,0.0474555,0.000296875,0.495665
168,-1.06725,0.0690146,-0.0598844,0.491246
169,-1.0304,0.0668406,-0.0136828,0.512823
170,-1.0154,0.127699,0.00937973,0.46728
171,-1.09759,0.118505,-0.0390214,0.480308
172,-1.11064,0.0738923,-0.055524,0.478944
173,-1.23177,0.14749,-0.0643063,0.508423
174,-1.15505,0.129998,-0.118889,0.489012
175,-1.08346,0.129637,-0.0123237,0.492935
176,-1.14655,0.0894306,-0.0788151,0.494587
177,-1.2561,0.0751004,-0.0812178,0.484165
178,-1.06644,0.11503,-0.0319798,0.518495
179,-1.15627,0.0694013,0.00545413,0.517873
180,-0.987544,0.087274,0.0061583,0.505686
181,-1.34202,0.0542189,0.00773831,0.504163
182,-1.08433,0.130577,-0.000594856,0.560093
183,-1.00925,0.129088,0.0302909,0.505329
184,-0.989002,0.113052,0.00197819,0.522854
185,-1.07152,0.0904988,-0.0169973,0.49856
186,-0.92495,0.0785499,-0.00140051,0.527717
187,-1.13412,0.0859918,-0.0102389,0.488983
188,-0.931049,0.149156,-0.0189077,0.513487
189,-1.08865,0.117278,0.0181843,0.534392
190,-1.1977,0.0570205,0.0256111,0.505106
191,-1.05811,0.118893,-0.0075693,0.536879
192,-0.843079,0.079967,-0.0374196,0.489805
193,-1.13454,0.13089,-0.0544378,0.490727
194,-0.974367,0.0703471,0.0201734,0.464996
195,-0.943265,0.0911173,-0.0150742,0.50802
196,-1.17719,0.130893,0.027794,0.484011
197,-1.18256,0.042678,0.0310308,0.496007
198,-1.18853,0.0792089,-0.0226558,0.539357
199,-1.13611,0.0632716,-0.0238369,0.582639
200,-1.16861,0.16433,-0.0220628,0.618207
201,-1.40233,0.0487782,-0.00352851,0.564241
202,-1.10325,0.133801,-0.0363941,0.623165
203,-1.39273,0.073996,-0.00628443,0.522098
204,-1.28948,0.0353277,-0.00271872,0.509393
205,-1.24842,0.073173,-0.00418615,0.544168
206,-1.13722,0.100692,-0.0410475,0.516078
207,-1.23317,0.076753,0.0463627,0.541968
208,-1.23707,0.0800443,-0.0601561,0.508686
209,-1.23258,0.0850881,0.0079507,0.500461
210,-1.16743,0.208012,0.0366252,0.531068
211,-1.51205,0.10882,-0.00267509,0.566521
212,-1.35823,0.0422814,0.0204611,0.513575
213,-1.30285,0.117337,0.0234963,0.49222
214,-1.17021,0.064685,0.0545975,0.528411
215,-1.53431,0.0558775,-0.00928441,0.529865
216,-1.40866,0.0992898,0.018761,0.528198
217,-1.01827,0.0709869,0.0173836,0.519535
218,-1.35077,0.0530014,0.0217087,0.4839
219,-1.37123,0.0700322,-0.00458798,0.499999
220,-1.01435,0.147879,-0.0122482,0.481774
221,-1.03585,0.0583831,-0.00648126,0.583304
222,-0.955763,0.0754354,-0.0422678,0.571209
223,-1.17623,0.0826456,-0.0248545,0.458826
224,-1.02918,0.0682226,-0.0115031,0.557883
225,-0.924866,0.0716685,-0.0541041,0.488875
226,-1.01721,0.118095,-0.0418956,0.490622
227,-1.57964,0.102874,-0.0841794,0.473016
228,-1.21883,0.135127,-0.0140937,0.492665
229,-0.969019,0.115182,0.0297549,0.495005
230,-1.22603,0.115526,0.0215546,0.500494
231,-1.14779,0.0526486,-0.0180331,0.501821
232,-0.912727,0.0693012,0.0374322,0.486323
233,-1.03247,0.0982828,0.0167573,0.49694
234,-0.903951,0.122612,-0.127146,0.47625
235,-1.02254,0.127904,-0.0306942,0.516134
236,-1.2883,0.101875,-0.0126093,0.465943
237,-1.2883,0.101875,-0.0126093,0.465943
238,-0.849463,0.0767048,-0.0240068,0.483594
239,-0.849463,0.0767048,-0.0240068,0.483594
240,-0.889259,0.083222,-0.0826375,0.451851
241,-0.889259,0.083222,-0.0826375,0.451851
242,-0.853243,0.0580624,-0.0368724,0.493847
243,-0.910909,0.0551736,-0.0336411,0.448227
244,-1.38512,0.0495074,-0.0237587,0.494403
245,-0.853503,0.0588992,-0.00776477,0.4957
246,-1.03796,0.042202,0.039637,0.479344
247,-1.13057,0.106787,0.0029489,0.496007
248,-1.15629,0.0836926,-0.0101442,0.522347
249,-1.50445,0.0417116,-0.00366372,0.530092
250,-0.888084,0.0812997,-0.0510734,0.533501
251,-1.05135,0.0231411,-0.0737569,0.532533
252,-1.27227,0.0583,-0.0236412,0.518284
253,-1.22817,0.0433212,-0.085108,0.504197
254,-1.0135,0.0746851,-0.0435513,0.529736
255,-1.26185,0.0678982,-0.0705321,0.530971
256,-1.02578,0.0847863,-0.0779446,0.558453
257,-0.896196,0.0797495,-0.0757541,0.52901
258,-1.2654,0.0353371,-0.061096,0.510698
259,-0.990687,0.113684,-0.0161973,0.514967
260,-0.98072,0.0332638,-0.0122602,0.539132
261,-1.09895,0.0709665,0.00351336,0.543608
262,-1.2114,0.0292839,-0.0269715,0.492911
263,-1.36661,0.0644459,-0.0480903,0.495287
264,-1.21248,0.0417075,-0.026708,0.525921
265,-1.1853,0.0801524,-0.0405141,0.534316
266,-1.12821,0.0535237,-0.03801,0.507877
267,-1.22811,0.0588303,-0.00147434,0.511149
268,-0.961556,0.0863819,-0.129463,0.518384
269,-1.13168,0.0949147,-0.064864,0.549999
270,-1.13168,0.0949147,-0.064864,0.549999
271,-1.13168,0.0949147,-0.064864,0.549999
272,-1.35723,0.0750854,-0.0187631,0.586206
273,-1.28376,0.0762201,-0.0619236,0.542791
274,-1.0426,0.0525291,-0.020798,0.559118
275,-1.13267,0.0998881,-0.00476318,0.467842
276,-1.25321,0.0316292,0.00282453,0.506376
277,-1.2329,0.0838333,-0.044911,0.492389
278,-1.11987,0.0544963,-0.00772579,0.53961
279,-1.01501,0.0819054,-0.0330834,0.48741
280,-1.01501,0.0819054,-0.0330834,0.48741
281,-0.982769,0.089965,0.0294909,0.494281
282,-1.1475,0.0907532,-0.0124663,0.511527
283,-1.04836,0.0659131,0.0530453,0.457945
284,-1.08373,0.0625226,-0.00433573,0.491303
285,-0.984621,0.0409822,0.0418711,0.465807
286,-0.984621,0.0409822,0.0418711,0.465807
287,-0.969181,0.0443875,-0.0363747,0.477757
288,-1.24988,0.0625685,-0.0123284,0.461835
289,-1.03769,0.039235,-0.0039679,0.496927
290,-1.03804,0.114714,-0.0302438,0.516384
291,-1.24471,0.0427952,-0.00735996,0.506621
292,-1.05056,0.155965,-0.0263632,0.571409
293,-1.1389,0.0345035,0.00347471,0.553049
294,-1.15989,0.0799229,-0.0271508,0.548657
295,-0.971641,0.076156,-0.0505672,0.503654
296,-1.20074,0.105951,-0.0240608,0.499471
297,-1.06022,0.0870093,-0.0406398,0.485181
298,-1.06022,0.0870093,-0.0406398,0.485181
299,-1.06022,0.0870093,-0.0406398,0.485181
300,-1.01081,0.073869,-0.0504484,0.54632
301,-0.89554,0.0817811,-0.0164829,0.489391
302,-1.42215,0.0797078,-0.0684885,0.494734
303,-1.06909,0.125532,-0.0669658,0.521076
304,-1.04331,0.118401,-0.0459694,0.504223
305,-0.927371,0.109412,-0.0254365,0.54762
306,-1.16526,0.12955,-0.0640432,0.502101
307,-1.44748,0.158028,-0.00361293,0.495047
308,-1.33777,0.10245,-0.0547734,0.463791
309,-1.06291,0.104793,-0.00362231,0.473575
310,-1.43829,0.155318,-0.0446051,0.446088
311,-1.35373,0.127356,-0.0484945,0.489336
312,-1.21605,0.123795,-0.011744,0.521039
313,-1.11805,0.0562114,0.00272507,0.476223
314,-1.11805,0.0562114,0.00272507,0.476223
315,-1.5094,0.1289,-0.013424,0.497757
316,-1.3944,0.077179,-0.0248753,0.490363
317,-1.48494,0.113267,-0.0552283,0.504465
318,-1.40822,0.0796402,-0.0629581,0.514117
