MDTU,S_B
457,1.00053
458,0.996916
459,0.998653
460,0.988201
461,1.00652
462,0.99512
463,0.98277
464,0.976245
465,0.983247
466,0.984204
467,0.983878
468,0.985168
469,1.00852
470,1.01052
471,0.988564
472,0.991265
473,0.990286
474,0.994584
475,1.00268
476,0.996946
477,0.998591
478,1.00301
479,1.00314
480,0.995085
481,0.998757
482,1.0117
483,1.00518
484,0.993565
485,1.00919
486,0.993165
487,1.0054
488,0.984309
489,0.998535
490,0.984739
491,1.00188
492,0.988079
493,0.98731
494,0.983721
495,1.00337
496,0.993071
497,0.995702
498,0.995702
499,1.01313
500,1.00803
501,1.00803
502,1.01544
503,1.00534
504,1.01434
505,1.01212
506,0.998622
507,0.998622
508,0.995827
509,0.996792
510,1.00035
511,1.01346
512,1.01346
513,1.00419
514,1.0025
515,1.00194
516,0.989532
517,0.981695
518,0.994792
519,0.999549
520,0.991391
521,0.978426
522,0.998229
523,0.998229
524,1.00187
525,0.991074
526,0.977363
527,0.984129
528,0.993143
529,0.996652
530,0.994124
531,1.00201
532,1.00258
533,1.00697
534,1.00549
535,1.01013
536,1.02147
537,1.01222
538,1.00641
539,0.995919
540,1.00481
541,0.989
542,1.00021
543,0.999825
544,0.986568
545,0.986568
546,1.00871
547,1.00145
548,1.00558
549,0.999417
550,0.998547
551,0.998547
552,0.998333
553,1.009
554,1.00662
555,0.998865
556,1.00682
557,1.00149
558,0.990046
559,0.993163
560,0.990011
561,0.987107
562,0.988055
563,0.993272
564,1.00106
565,0.99825
566,1.02079
567,0.990958
568,0.992581
569,0.992899
570,0.992018
571,0.999177
572,1.00553
573,1.00038
574,1.00038
575,1.00875
576,1.01428
577,0.988713
578,1.00077
579,1.0024
580,1.00842
581,1.0059
582,1.01362
583,0.998062
584,0.989058
585,0.996466
586,1.00082
587,1.00746
588,0.986416
589,0.99021
590,1.00086
591,0.999935
592,0.985303
593,0.998613
594,0.995007
595,0.98071
596,0.996282
597,1.00068
598,0.993672
599,0.981842
600,0.989286
601,1.00758
602,1.0013
603,0.995947
604,0.993285
605,0.994113
606,0.993561
607,0.993334
608,0.998838
609,1.00641
610,1.00629
611,0.982754
612,0.992785
613,0.997176
614,0.999758
615,0.991371
616,0.993555
617,0.993986
618,0.995225
619,0.99849
620,1.00314
621,1.0045
622,1.00237
623,0.985908
624,1.01857
625,1.00005
626,0.991387
627,0.991387
628,1.00276
629,0.984184
630,0.988047
631,0.989632
632,0.99799
633,1.00787
634,1.00263
635,1.00069
636,0.99617
637,0.99617
638,0.991264
639,1.00991
640,1.01599
641,1.01872
642,1.01872
643,1.01872
644,0.992844
645,1.01268
646,1.00773
647,1.00193
648,1.00836
649,0.996657
650,1.00217
651,0.997103
652,0.992764
653,0.997525
654,1.00041
655,0.988222
656,0.983564
657,0.978692
658,1.00305
659,1.01299
660,1.01299
661,0.997173
662,1.01225
663,0.99198
664,1.0076
665,1.00435
666,1.00443
667,1.00635
668,1.00635
669,1.01582
670,1.01699
671,1.00366
672,0.986963
673,0.986967
674,1.00305
675,0.993583
676,1.00932
677,0.988182
678,1.00669
679,0.999346
680,0.998143
681,0.999845
682,0.986387
683,0.98543
684,1.00152
685,1.00152
686,1.00757
687,1.0032
688,0.996954
689,0.990491
690,0.986124
691,0.982219
692,0.982219
693,0.988733
694,0.997546
695,0.998058
696,0.9975
697,0.998018
698,0.996978
699,0.991877
700,1.00767
701,0.989606
702,0.994998
703,0.994059
704,1.00339
705,1.01132
706,1.01025
707,1.00892
708,0.996624
709,1.00784
710,1.00014
711,1.01115
712,1.00855
713,0.982919
714,0.985489
715,0.997253
