t,cg_iters
639,3292
640,3464
641,3611
642,3604
643,3189
644,3724
645,3571
646,3215
647,2789
648,2786
649,2523
650,2472
651,2475
652,2497
653,2507
654,2502
655,2470
656,2551
657,2606
658,2642
659,2848
660,2833
661,2810
662,2872
663,2812
664,2731
665,2718
666,2696
667,2775
668,2877
669,2820
670,2806
671,2844
672,2759
673,2739
674,2751
675,2792
676,2898
677,2910
678,2910
679,2925
680,2856
681,2761
682,2767
683,2941
684,2928
685,2802
686,2852
687,2847
688,2841
689,2867
690,2950
691,2890
692,2674
693,2870
694,2846
695,2757
696,2686
697,2745
698,2930
699,2879
700,2632
701,2735
702,2954
703,2813
704,2581
705,2745
706,2731
707,2702
708,2749
709,2890
710,2906
711,2815
712,2839
713,2681
714,2637
715,2770
716,2650
717,2772
718,2684
719,2718
720,2739
721,2708
722,2888
723,2791
724,2816
725,2809
726,2810
727,2980
728,2935
729,2863
730,2711
731,2826
732,2747
733,2774
734,2667
735,2829
736,2948
737,2965
738,3152
739,3326
740,3213
741,3572
742,3769
743,3921
744,3504
745,3618
746,3445
747,3623
748,3419
749,3038
750,3131
751,2997
752,3005
753,2825
754,2694
755,2638
756,2670
757,2825
758,2712
759,2804
760,2906
761,2785
762,2596
763,2700
764,2766
765,2858
766,3091
767,2952
768,2756
769,2765
770,2788
771,2887
772,2894
773,2883
774,2768
775,2884
776,2810
777,2751
778,2811
779,2732
780,2809
781,2739
782,2655
783,2695
784,2653
785,2596
786,2726
787,2764
788,2844
789,2874
790,2848
791,3037
792,2903
793,2921
794,3131
795,3122
796,3139
797,3090
798,2942
799,3098
800,3062
801,3087
802,3193
803,3139
804,3241
805,3365
806,3275
807,3465
808,3519
809,3510
810,3432
811,3317
812,3428
813,3471
814,3517
815,3547
816,3493
817,3513
818,3389
819,3277
820,3441
821,3650
822,4107
823,3803
824,3818
825,4442
826,4790
827,4744
828,4000
829,3440
830,3359
831,3301
832,3392
833,3344
834,3390
835,3556
836,3538
837,3839
838,3658
839,4122
840,4156
841,3729
842,3716
843,3541
844,3438
845,3389
846,3553
847,3756
848,3700
849,3478
850,3495
851,3411
852,3632
853,3585
854,3488
855,3458
856,3366
857,3348
858,3453
859,3696
860,4337
861,4364
862,3646
863,3694
864,3643
865,3678
866,3607
867,3710
868,4017
869,4141
870,3545
871,3115
872,3191
873,3592
874,3913
875,3436
876,3115
877,3181
878,3207
879,3000
880,3034
881,3031
882,2881
883,2782
884,2986
885,2849
886,2702
887,2814
888,2707
889,2721
890,2790
891,2757
892,2773
893,2700
894,2631
895,2882
896,2963
897,2602
898,2597
899,2692
900,2753
901,2902
902,2814
903,2702
904,2732
905,2832
906,2782
907,2772
908,2869
909,2896
910,3028
911,3052
912,2930
913,2753
914,2687
915,2733
916,2633
917,2561
918,2583
919,2605
920,2472
921,2527
922,2667
923,2654
924,2594
925,2574
926,2520
927,2683
928,2776
929,2686
930,2807
931,2635
932,2627
933,2623
934,2824
935,2958
936,2878
937,2972
938,2742
939,2750
940,2693
941,2670
942,2611
943,2641
944,2688
945,2757
946,2782
947,2691
948,2869
949,2782
950,2692
951,2787
952,2860
953,2953
954,3163
955,3058
956,2934
957,2841
958,2701
959,2659
960,2566
961,2472
962,2514
963,2396
964,2331
965,2395
966,2399
967,2341
968,2486
969,2503
970,2507
971,2669
972,2799
973,2760
974,2699
975,2742
976,2855
977,2937
978,3074
979,3036
980,3028
981,3179
982,3812
983,3507
984,3519
985,3547
986,3685
987,3542
988,3957
989,3767
990,3314
991,4038
992,4735
993,4257
994,4067
995,3757
996,3462
997,3236
998,3444
999,3549
1000,3699
1001,3608
1002,3374
1003,3493
1004,3400
1005,3343
1006,3427
1007,3604
1008,3305
1009,3058
1010,3261
1011,3177
1012,3284
1013,3322
1014,3224
1015,3356
1016,3514
1017,3957
1018,4254
1019,3919
1020,3527
1021,3315
1022,3233
1023,3473
1024,3775
1025,3520
1026,3796
1027,3755
1028,3562
1029,3362
1030,3389
1031,3359
1032,3419
1033,3249
1034,3177
1035,3265
1036,3412
1037,3286
1038,3310
1039,3285
1040,3116
1041,3104
1042,3082
1043,3108
1044,3122
1045,3034
1046,3052
1047,2979
