ReTr(Lx),ReTr(Ly),ImTr(Lx),ImTr(Ly)
0.442257,0.840417,null,null,null
1.81847,null,1.32416,null,null
0.0326292,1.23662,null,null,null
1.46923,null,0.966423,null,null
0.0357927,1.22795,null,null,null
1.41008,null,1.30903,null,null
-0.089983,0.726987,null,null,null
1.44611,null,0.853357,null,null
-0.083316,0.72857,null,null,null
1.91961,null,0.403813,null,null
0.261338,1.24131,null,null,null
1.65164,null,0.709973,null,null
0.260682,1.3433,null,null,null
1.42137,null,1.24785,null,null
0.366737,0.851773,null,null,null
0.90965,null,0.92503,null,null
0.449303,0.809217,null,null,null
1.42356,null,1.28883,null,null
0.531097,0.531633,null,null,null
0.654557,null,1.32641,null,null
0.234512,0.630357,null,null,null
0.626537,null,1.68895,null,null
0.234512,0.630357,null,null,null
0.626537,null,1.68895,null,null
0.557633,0.969863,null,null,null
0.42977,null,1.29883,null,null
-0.00849497,1.15547,null,null,null
0.569273,null,1.37438,null,null
-0.0718823,1.1024,null,null,null
0.87342,null,1.24516,null,null
0.245205,1.04558,null,null,null
1.04656,null,1.2409,null,null
0.589527,1.69863,null,null,null
0.424447,null,1.40725,null,null
0.945073,1.33759,null,null,null
0.511167,null,1.28009,null,null
0.565607,1.5322,null,null,null
0.566103,null,1.72271,null,null
0.85595,1.80206,null,null,null
0.45332,null,1.71859,null,null
0.330786,2.24995,null,null,null
0.315661,null,1.76227,null,null
0.59542,1.72974,null,null,null
-0.0103679,null,1.68843,null,null
0.636893,1.1765,null,null,null
-0.283147,null,1.35854,null,null
0.374827,0.90306,null,null,null
-0.40394,null,1.36112,null,null
0.237363,0.717203,null,null,null
0.036061,null,1.48083,null,null
-0.0938093,0.71071,null,null,null
0.14175,null,1.67284,null,null
0.0624617,0.67503,null,null,null
0.338793,null,1.93909,null,null
0.0181651,0.88836,null,null,null
0.51261,null,1.6911,null,null
0.174765,0.779653,null,null,null
0.278806,null,1.64303,null,null
0.103575,0.703243,null,null,null
0.212325,null,1.54406,null,null
0.227504,0.726683,null,null,null
0.00779827,null,1.66084,null,null
0.37674,0.672413,null,null,null
-0.255384,null,1.78068,null,null
0.241982,0.667133,null,null,null
-0.215944,null,1.46551,null,null
0.139512,0.662873,null,null,null
-0.55751,null,1.56651,null,null
0.179129,0.57566,null,null,null
-0.613967,null,1.20496,null,null
0.179129,0.57566,null,null,null
-0.613967,null,1.20496,null,null
0.310647,0.362423,null,null,null
-0.614177,null,1.56108,null,null
0.48337,0.275579,null,null,null
-0.411523,null,1.36279,null,null
0.521697,0.248437,null,null,null
-0.294279,null,1.46982,null,null
0.376463,0.441593,null,null,null
-0.620713,null,1.87728,null,null
0.661163,0.316365,null,null,null
-0.668517,null,1.73406,null,null
0.68761,0.333291,null,null,null
-0.771857,null,1.73301,null,null
0.34287,0.404333,null,null,null
-0.529313,null,1.61328,null,null
0.766783,0.39599,null,null,null
-0.70434,null,1.11969,null,null
0.78752,0.39255,null,null,null
-0.634203,null,1.16456,null,null
1.09951,0.5435,null,null,null
-0.487617,null,0.90108,null,null
0.84904,0.57973,null,null,null
-0.56778,null,1.18087,null,null
0.316236,0.492717,null,null,null
-0.45292,null,1.26686,null,null
-0.0180011,0.297857,null,null,null
-0.60889,null,1.17079,null,null
0.0504233,0.163491,null,null,null
-0.664717,null,0.98228,null,null
0.208687,0.176939,null,null,null
-0.69517,null,1.16286,null,null
-0.0979617,0.38981,null,null,null
-0.619917,null,1.22688,null,null
-0.210791,0.3739,null,null,null
-0.927013,null,1.51707,null,null
-0.101886,0.201355,null,null,null
-1.08411,null,1.44206,null,null
0.136415,0.114158,null,null,null
-1.07527,null,1.48984,null,null
0.0429697,0.262114,null,null,null
-0.79045,null,1.21767,null,null
0.180273,0.301303,null,null,null
-0.98211,null,0.90482,null,null
0.0106425,0.252038,null,null,null
-1.34183,null,0.535723,null,null
-0.16116,0.414963,null,null,null
-1.01478,null,1.01815,null,null
-0.319389,0.519227,null,null,null
-0.863753,null,0.914377,null,null
-0.319389,0.519227,null,null,null
-0.863753,null,0.914377,null,null
-0.00318583,0.52406,null,null,null
-1.06632,null,0.760137,null,null
-0.292418,0.659437,null,null,null
-1.25213,null,0.70639,null,null
-0.267096,0.704537,null,null,null
-0.886093,null,0.47587,null,null
-0.486433,0.765933,null,null,null
-0.990593,null,0.441653,null,null
-0.486433,0.765933,null,null,null
-0.990593,null,0.441653,null,null
-0.805307,0.75063,null,null,null
-0.75165,null,0.482753,null,null
-1.11081,0.603423,null,null,null
-1.01675,null,0.45346,null,null
-0.919883,0.77342,null,null,null
-0.908543,null,0.129997,null,null
-1.07103,0.34042,null,null,null
-0.86528,null,-0.0676933,null,null
-1.10835,0.273165,null,null,null
-0.736073,null,0.269978,null,null
-0.711473,0.146724,null,null,null
-0.770823,null,-0.0819267,null,null
-0.587687,0.16822,null,null,null
-0.915587,null,0.062189,null,null
-0.744927,0.112315,null,null,null
-0.83354,null,-0.412597,null,null
-0.871073,0.322704,null,null,null
-0.728783,null,-0.624767,null,null
-0.55718,0.0968757,null,null,null
-0.505023,null,-0.504313,null,null
-0.720017,0.111681,null,null,null
-0.384423,null,-0.592613,null,null
-0.766713,0.197597,null,null,null
-0.64625,null,-0.495847,null,null
-0.578453,0.0559453,null,null,null
-0.70512,null,-0.731397,null,null
-0.284505,-0.185793,null,null,null
-0.553073,null,-1.40178,null,null
0.0963883,-0.2717,null,null,null
-1.31,null,-1.40713,null,null
0.233945,-0.576113,null,null,null
-1.24818,null,-1.75992,null,null
0.413443,-0.5748,null,null,null
-1.00875,null,-2.10529,null,null
0.500663,-0.95639,null,null,null
-1.72677,null,-1.1836,null,null
0.268027,-0.749453,null,null,null
-1.76097,null,-0.942673,null,null
-0.331916,-0.416473,null,null,null
-1.90493,null,-1.09107,null,null
-0.31868,-0.255983,null,null,null
-1.32677,null,-1.42199,null,null
-0.488887,-0.378763,null,null,null
-1.59035,null,-2.32462,null,null
-0.399107,-0.369403,null,null,null
-1.23768,null,-2.21864,null,null
-0.280407,-0.42431,null,null,null
-1.34218,null,-2.00485,null,null
-0.40312,-0.355957,null,null,null
-0.873287,null,-2.19033,null,null
-0.870877,-0.520953,null,null,null
-0.800853,null,-1.67148,null,null
-1.10767,-0.635497,null,null,null
-0.304292,null,-1.47383,null,null
-1.13328,-0.67342,null,null,null
-0.884373,null,-1.4878,null,null
-1.03548,-0.561653,null,null,null
-1.88736,null,-1.64132,null,null
-1.06071,-0.217278,null,null,null
-1.63625,null,-1.48261,null,null
-1.05388,0.314292,null,null,null
-1.1649,null,-1.17137,null,null
-0.780707,0.919077,null,null,null
-1.0706,null,-0.756573,null,null
-0.97368,1.24908,null,null,null
-1.28544,null,-0.705847,null,null
-0.90453,0.952887,null,null,null
-1.22204,null,-0.702597,null,null
-1.5738,1.19735,null,null,null
-1.49968,null,-0.302298,null,null
-1.19834,1.21126,null,null,null
-1.35014,null,-1.49358,null,null
-1.63127,1.10743,null,null,null
-0.691823,null,-1.4584,null,null
-1.4978,0.66746,null,null,null
-0.0462413,null,-1.94166,null,null
-2.10345,0.57067,null,null,null
-0.204143,null,-1.67019,null,null
-1.6153,1.04984,null,null,null
-0.574857,null,-1.68495,null,null
-1.16523,0.919947,null,null,null
-0.513187,null,-1.56023,null,null
-1.11325,1.22729,null,null,null
0.0988607,null,-1.1055,null,null
-0.728523,1.12447,null,null,null
0.346743,null,-1.51248,null,null
-0.89154,0.854257,null,null,null
0.74467,null,-1.17791,null,null
-1.52767,1.26119,null,null,null
0.878097,null,-1.08119,null,null
-0.903847,1.0993,null,null,null
1.00955,null,-1.35468,null,null
-0.62505,1.36656,null,null,null
0.974777,null,-0.966087,null,null
-0.295187,1.32757,null,null,null
1.14942,null,-0.756063,null,null
-0.0113385,1.44024,null,null,null
1.17453,null,-0.563973,null,null
0.926643,0.88836,null,null,null
1.83222,null,-0.375623,null,null
0.661623,1.11679,null,null,null
1.47541,null,-0.31818,null,null
0.68173,0.665957,null,null,null
1.47147,null,-0.527317,null,null
0.374947,0.498697,null,null,null
1.58438,null,-0.34243,null,null
0.830713,0.192398,null,null,null
1.85675,null,-0.955677,null,null
0.86213,-0.0110537,null,null,null
1.97334,null,-0.70989,null,null
0.71363,-0.10686,null,null,null
1.4226,null,-1.48777,null,null
0.866803,-0.0302682,null,null,null
1.39117,null,-0.83939,null,null
0.59035,0.270223,null,null,null
1.2095,null,-1.39234,null,null
0.3537,-0.0977357,null,null,null
1.6341,null,-1.1868,null,null
0.627173,-0.307513,null,null,null
1.86385,null,-1.48905,null,null
0.633223,-0.172636,null,null,null
1.62294,null,-0.942483,null,null
0.655233,-0.136714,null,null,null
1.42148,null,-1.38569,null,null
0.67022,0.116638,null,null,null
1.255,null,-0.845367,null,null
0.47667,0.000259964,null,null,null
0.91603,null,-0.80991,null,null
0.426893,-0.251896,null,null,null
0.508707,null,-0.790183,null,null
0.59458,0.110909,null,null,null
0.40673,null,-0.817163,null,null
0.64956,-0.126735,null,null,null
0.460617,null,-1.52216,null,null
0.640033,-0.158172,null,null,null
0.420347,null,-1.19183,null,null
0.7193,-0.273467,null,null,null
0.993353,null,-1.3331,null,null
0.705303,0.117102,null,null,null
1.20211,null,-1.12082,null,null
0.86302,0.170303,null,null,null
0.895457,null,-0.74142,null,null
0.909173,0.513357,null,null,null
0.46703,null,-0.847277,null,null
0.609787,0.61105,null,null,null
0.506933,null,-0.697017,null,null
0.57019,0.531553,null,null,null
0.0714713,null,-0.84901,null,null
0.57019,0.531553,null,null,null
0.0714713,null,-0.84901,null,null
0.602607,0.641493,null,null,null
-0.109604,null,-0.99879,null,null
0.602607,0.641493,null,null,null
-0.109604,null,-0.99879,null,null
0.4436,0.254987,null,null,null
-0.0415203,null,-0.8647,null,null
0.4436,0.254987,null,null,null
-0.0415203,null,-0.8647,null,null
0.58957,0.264907,null,null,null
0.763947,null,-1.27099,null,null
0.599833,-0.203431,null,null,null
0.90149,null,-0.371283,null,null
0.55026,-0.025903,null,null,null
1.1911,null,-0.624543,null,null
0.454587,-0.0581563,null,null,null
1.07681,null,-1.11912,null,null
0.780477,-0.10352,null,null,null
0.962103,null,-0.838113,null,null
0.361513,-0.174326,null,null,null
1.33731,null,-0.742013,null,null
0.220903,-0.230151,null,null,null
1.17872,null,-0.884337,null,null
0.168697,-0.248608,null,null,null
1.75326,null,-1.2703,null,null
0.289431,-0.063864,null,null,null
1.8418,null,-0.50261,null,null
0.319159,0.174096,null,null,null
2.20209,null,-0.309252,null,null
0.50805,0.033638,null,null,null
1.74922,null,-0.293162,null,null
0.475413,0.07674,null,null,null
2.26874,null,-0.310554,null,null
0.147647,0.0952033,null,null,null
2.40476,null,0.957777,null,null
0.368797,-0.0368793,null,null,null
2.10862,null,0.724103,null,null
0.345567,-0.178746,null,null,null
2.49971,null,1.11842,null,null
0.0622653,-0.290049,null,null,null
2.29722,null,0.929463,null,null
-0.0415517,-0.321268,null,null,null
1.57013,null,1.12673,null,null
0.125425,-0.259841,null,null,null
1.38658,null,1.94176,null,null
0.206677,-0.228852,null,null,null
1.84664,null,2.10622,null,null
0.14306,-0.204431,null,null,null
2.35877,null,2.27238,null,null
0.262677,-0.210098,null,null,null
1.10227,null,2.06285,null,null
0.143329,-0.152032,null,null,null
0.466523,null,1.83995,null,null
0.099659,0.0661817,null,null,null
0.820363,null,2.35565,null,null
-0.0250187,0.0580613,null,null,null
0.313557,null,1.87601,null,null
0.220576,0.2771,null,null,null
-0.00741063,null,1.55026,null,null
0.43547,0.307704,null,null,null
0.219429,null,1.61771,null,null
0.608587,0.036924,null,null,null
0.118782,null,1.9341,null,null
0.433047,-0.102262,null,null,null
-0.181502,null,1.79516,null,null
0.433047,-0.102262,null,null,null
-0.181502,null,1.79516,null,null
0.433047,-0.102262,null,null,null
-0.181502,null,1.79516,null,null
0.469997,-0.128011,null,null,null
-0.11721,null,1.54318,null,null
0.502233,0.0874723,null,null,null
0.168768,null,1.18402,null,null
0.661753,0.262972,null,null,null
0.55795,null,1.24313,null,null
0.661613,0.498467,null,null,null
-0.05255,null,1.55874,null,null
0.8443,0.356373,null,null,null
-0.280482,null,1.67062,null,null
0.71045,0.191527,null,null,null
-0.168896,null,1.04405,null,null
0.78621,0.241514,null,null,null
0.134555,null,1.11329,null,null
0.427897,0.293732,null,null,null
0.346687,null,1.11053,null,null
0.427897,0.293732,null,null,null
0.346687,null,1.11053,null,null
0.689707,0.235674,null,null,null
0.223648,null,1.17475,null,null
0.935903,0.32559,null,null,null
0.066855,null,0.98674,null,null
0.83046,0.933537,null,null,null
-0.00474367,null,1.15465,null,null
0.453997,0.58073,null,null,null
-0.050676,null,1.1941,null,null
0.412307,0.38763,null,null,null
-0.346777,null,1.18369,null,null
0.412307,0.38763,null,null,null
-0.346777,null,1.18369,null,null
0.427933,0.44163,null,null,null
0.25359,null,1.21823,null,null
0.309911,0.528617,null,null,null
0.0559617,null,1.15761,null,null
-0.235347,1.00114,null,null,null
-0.35435,null,1.14677,null,null
-0.226571,0.64981,null,null,null
-0.440727,null,1.37457,null,null
-0.40198,0.58527,null,null,null
-0.315734,null,1.73799,null,null
-0.37906,0.41671,null,null,null
-0.225119,null,1.4302,null,null
-0.39334,0.472113,null,null,null
0.0209946,null,1.23205,null,null
-0.287556,0.401287,null,null,null
-0.25693,null,1.02512,null,null
-0.189993,0.120281,null,null,null
0.269929,null,0.86511,null,null
-0.33369,0.205448,null,null,null
0.160832,null,0.687867,null,null
-0.558347,0.38408,null,null,null
0.22224,null,0.479297,null,null
-0.558347,0.38408,null,null,null
0.22224,null,0.479297,null,null
-0.558347,0.38408,null,null,null
0.22224,null,0.479297,null,null
-0.328247,0.258738,null,null,null
0.638407,null,0.142747,null,null
-0.606,0.157125,null,null,null
0.328228,null,-0.244969,null,null
-0.849483,-0.21714,null,null,null
